analysis_spec,sample_role,ccn_str,facility_name_treatment,analysis_state,year,ever_treated,treat_year,post_treat,event_time,did_treat,deal_id,reit_name,platform_name,ownership_effective_date,source_group,verification_tier,ltcfocus_state,ltcfocus_county,facility_name_ltcfocus,ltcfocus_total_beds,ltcfocus_occupancy_pct,ltcfocus_residents,baseline_medicaid_share,baseline_medicaid_n_years,baseline_window_start,baseline_window_end,baseline_method,valid_pseudocohorts,ltcfocus_medicaid_share,ltcfocus_medicare_share,ltcfocus_directcare_hprd,ltcfocus_rn_hprd,ltcfocus_lpn_hprd,ltcfocus_cna_hprd,sample_main_staffing,treated_ever,matched_sample,analysis_sample_label
reit_extended_same_state_matched,control,075221,"PINES AT BRISTOL FOR NURSING & REHABILITATION, THE",CT,2009,0,,0,,0,,,,,,,CT,3.0,PINES AT BRISTOL FOR NURSING & REHABIL,132.0,95.45,2.0,67.68792181069959,6.0,2009.0,2020.0,control_weighted_pseudocohort_reit,3.0,67.46,13.49,3.771825396825397,0.4115079365079366,0.9464285714285712,2.413888888888889,1,0,1,control_same_state_matched
reit_extended_same_state_matched,control,075221,"PINES AT BRISTOL FOR NURSING & REHABILITATION, THE",CT,2010,0,,0,,0,,,,,,,CT,3.0,PINES AT BRISTOL FOR NURSING & REHABIL,132.0,96.21,1.0,67.68792181069959,6.0,2009.0,2020.0,control_weighted_pseudocohort_reit,3.0,62.2,18.11,3.4854330708661414,0.3192913385826771,0.7669291338582678,2.399212598425197,1,0,1,control_same_state_matched
reit_extended_same_state_matched,control,075221,"PINES AT BRISTOL FOR NURSING & REHABILITATION, THE",CT,2011,0,,0,,0,,,,,,,CT,3.0,"PINES AT BRISTOL FOR NURSING & REHABILITATION, THE",132.0,99.24,,67.68792181069959,6.0,2009.0,2020.0,control_weighted_pseudocohort_reit,3.0,70.23,14.5,3.379,0.377,0.649,2.353,1,0,1,control_same_state_matched
reit_extended_same_state_matched,control,075221,"PINES AT BRISTOL FOR NURSING & REHABILITATION, THE",CT,2012,0,,0,,0,,,,,,,CT,3.0,"PINES AT BRISTOL FOR NURSING & REHABILITATION, THE",132.0,93.94,,67.68792181069959,6.0,2009.0,2020.0,control_weighted_pseudocohort_reit,3.0,66.94,12.9,3.696,0.487,0.827,2.383,1,0,1,control_same_state_matched
reit_extended_same_state_matched,control,075221,"PINES AT BRISTOL FOR NURSING & REHABILITATION, THE",CT,2013,0,,0,,0,,,,,,,CT,3.0,"PINES AT BRISTOL FOR NURSING & REHABILITATION, THE",132.0,95.45,,67.68792181069959,6.0,2009.0,2020.0,control_weighted_pseudocohort_reit,3.0,74.6,9.52,3.532,0.55,0.718,2.264,1,0,1,control_same_state_matched
reit_extended_same_state_matched,control,075221,"PINES AT BRISTOL FOR NURSING & REHABILITATION, THE",CT,2014,0,,0,,0,,,,,,,CT,3.0,"PINES AT BRISTOL FOR NURSING & REHABILITATION, THE",132.0,96.21,,67.68792181069959,6.0,2009.0,2020.0,control_weighted_pseudocohort_reit,3.0,62.99,10.24,3.544,0.549,0.724,2.27,1,0,1,control_same_state_matched
reit_extended_same_state_matched,control,075221,"PINES AT BRISTOL FOR NURSING & REHABILITATION, THE",CT,2015,0,,0,,0,,,,,,,CT,3.0,"PINES AT BRISTOL FOR NURSING & REHABILITATION, THE",132.0,97.73,,67.68792181069959,6.0,2009.0,2020.0,control_weighted_pseudocohort_reit,3.0,63.57,14.73,3.376,0.5,0.718,2.159,1,0,1,control_same_state_matched
reit_extended_same_state_matched,control,075221,"PINES AT BRISTOL FOR NURSING & REHABILITATION, THE",CT,2016,0,,0,,0,,,,,,,CT,3.0,"PINES AT BRISTOL FOR NURSING & REHABILITATION, THE",132.0,90.15,,67.68792181069959,6.0,2009.0,2020.0,control_weighted_pseudocohort_reit,3.0,68.07,9.24,3.669,0.408,0.871,2.389,1,0,1,control_same_state_matched
reit_extended_same_state_matched,control,075221,"PINES AT BRISTOL FOR NURSING & REHABILITATION, THE",CT,2017,0,,0,,0,,,,,,,CT,3.0,"PINES AT BRISTOL FOR NURSING & REHABILITATION, THE",132.0,93.18,,67.68792181069959,6.0,2009.0,2020.0,control_weighted_pseudocohort_reit,3.0,73.98,7.32,3.538,0.389,0.8,2.35,1,0,1,control_same_state_matched
reit_extended_same_state_matched,control,075221,"PINES AT BRISTOL FOR NURSING & REHABILITATION, THE",CT,2018,0,,0,,0,,,,,,,CT,3.0,"PINES AT BRISTOL FOR NURSING & REHABILITATION, THE",132.0,94.7,,67.68792181069959,6.0,2009.0,2020.0,control_weighted_pseudocohort_reit,3.0,70.4,7.2,3.228,0.396,0.793,2.038,1,0,1,control_same_state_matched
