ccn_str,ltcfocus_total_beds,ltcfocus_residents,ltcfocus_occupancy_pct,ltcfocus_rn_hprd,ltcfocus_directcare_hprd,baseline_medicaid_share,ltcfocus_medicare_share,baseline_support_years,sample_role,valid_pseudocohorts,analysis_state,facility_name_treatment,treat_year,treated_ever
075240,120.0,1.0,90.62416666666667,0.758113132402178,3.5320066406864314,59.192499999999995,23.934166666666666,12.0,treated,,CT,COMPLETE CARE AT GLENDALE,2021.0,1
085013,106.0,4.5,92.45583333333333,0.6519300202127398,3.554428352127965,75.12083333333334,14.279166666666667,12.0,treated,,DE,COMPLETE CARE AT HILLSIDE LLC,2021.0,1
085027,120.0,0.5,93.33416666666666,0.7170303193804121,3.562572466750623,66.40916666666666,19.919999999999998,12.0,treated,,DE,COMPLETE CARE AT SILVER LAKE LLC,2021.0,1
085042,104.0,4.0,87.82166666666667,0.813659240337941,3.9569646469012216,56.70666666666667,15.916666666666666,12.0,treated,,DE,COMPLETE CARE AT BRACKENVILLE LLC,2021.0,1
155495,60.0,6.5,81.665,0.3738888888888889,2.8901339285714287,64.24833333333333,13.63,6.0,treated,,IN,PADDOCK SPRINGS,2015.0,1
155680,68.0,2.5,78.92,0.5051742424242424,4.299801201671891,43.93833333333333,32.516666666666666,6.0,treated,,IN,HOMEWOOD HEALTH CAMPUS,2015.0,1
155712,73.66666666666667,2.5,75.25,0.6878919918844731,3.618256355173648,41.63333333333333,29.62833333333333,6.0,treated,,IN,COVERED BRIDGE HEALTH CAMPUS,2015.0,1
155727,68.0,2.0,70.09833333333333,0.34347742127153896,4.4030555555555555,45.61166666666667,36.178333333333335,6.0,treated,,IN,STONEBRIDGE HEALTH CAMPUS,2015.0,1
155735,68.0,4.5,78.43166666666666,0.3349016354016354,3.9221002886002885,39.47,26.753333333333334,6.0,treated,,IN,ASHFORD PLACE HEALTH CAMPUS,2015.0,1
155736,68.0,1.5,75.98,0.3598394691209817,4.4155624249699885,33.83833333333333,40.75,6.0,treated,,IN,MILL POND HEALTH CAMPUS,2015.0,1
