ccn_str,provider_certified_beds,provider_avg_residents_per_day,pbj_mean_rn_hprd,pbj_mean_nurse_hprd,provider_health_rating,provider_overall_rating,provider_staffing_rating,chain_affiliated,for_profit,baseline_support_years,sample_role,valid_pseudocohorts,analysis_state,treatment_analysis_sample,provider_name,treat_year,treated_ever,for_profit_bin,chain_any_bin
056283,99.0,63.13333333333333,0.40113989443516934,4.231290865343444,2.25,2.5,2.75,0.0,0.8333333333333334,6.0,treated,,CA,gold_main,BIXBY KNOLLS TOWERS HEALTH CARE & REHAB CENTER,2023.0,1,1,0
105250,100.0,87.33333333333333,0.5754111007553657,3.937885679815402,2.0,2.0,3.0,0.0,1.0,3.0,treated,,FL,gold_main,HUNTINGTON PLACE,2020.0,1,1,0
105336,120.0,103.93333333333334,0.7712175217149873,4.107603005193189,1.5,2.25,4.25,0.0,1.0,6.0,treated,,FL,gold_main,PALMS CARE CENTER,2023.0,1,1,0
105375,120.0,104.96,0.3977662352891436,4.132345733873899,2.0,2.3333333333333335,3.3333333333333335,0.0,1.0,5.0,treated,,FL,gold_main,SOUTH CAMPUS CARE CENTER,2022.0,1,1,0
105467,120.0,104.46666666666665,0.3292585270507385,3.8555409241646683,1.25,1.75,2.5,0.0,1.0,6.0,treated,,FL,gold_main,WILLISTON CARE CENTER,2023.0,1,1,0
105640,85.0,69.32000000000001,0.4651569015638638,4.305717899658715,2.6666666666666665,4.333333333333333,4.333333333333333,0.0,1.0,5.0,treated,,FL,gold_main,NORTH LAKE CARE CENTER,2022.0,1,1,0
105649,180.0,163.8,0.3765888561548962,3.9263215512929492,1.3333333333333333,2.3333333333333335,4.0,0.0,1.0,5.0,treated,,FL,gold_main,CYPRESS CARE CENTER,2022.0,1,1,0
106095,67.6,57.02,0.7488090962763848,4.755991965474412,3.3333333333333335,3.6666666666666665,2.6666666666666665,0.0,1.0,5.0,treated,,FL,gold_main,CLUB HEALTH AND REHABILITATION CENTER AT THE VILLA,2022.0,1,1,0
106099,120.0,107.0,0.7627296405893352,4.931796710390174,2.0,3.0,3.75,0.0,1.0,6.0,treated,,FL,gold_main,VILLAGES REHABILITATION AND NURSING CENTER (THE),2023.0,1,1,0
165152,70.0,49.542857142857144,0.8599100487541723,5.575673044200796,3.4,4.2,3.8,0.14285714285714285,1.0,7.0,treated,,IA,gold_main,HARMONY HOUSE HEALTH CARE CENT,2024.0,1,1,1
165303,72.0,40.5,0.688057931736016,3.5300981720915465,3.8,4.2,3.6,0.14285714285714285,1.0,7.0,treated,,IA,gold_main,ABCM REHAB CENTERS OF INDEPENDENCE WEST CAMPUS,2024.0,1,1,1
165325,72.0,49.48571428571428,0.5680848165139025,3.883007287122011,3.6,4.0,3.4,0.14285714285714285,1.0,7.0,treated,,IA,gold_main,MANOR HOUSE CARE CENTER,2024.0,1,1,1
165326,91.0,54.55714285714286,0.8203837422738074,3.8718991082624847,3.2,3.0,4.4,0.14285714285714285,1.0,7.0,treated,,IA,silver_main,BLOOMFIELD CARE CENTER,2024.0,1,1,1
165334,93.0,45.857142857142854,0.7467408454538648,3.862184203793474,4.2,4.4,3.4,0.14285714285714285,1.0,7.0,treated,,IA,gold_main,GUTTENBERG CARE CENTER,2024.0,1,1,1
165338,50.0,38.94285714285714,0.7271800948243949,3.3434758692734867,4.8,5.0,3.4,0.14285714285714285,1.0,7.0,treated,,IA,gold_main,NORTHGATE CARE CENTER,2024.0,1,1,1
165340,93.0,49.300000000000004,0.7897008751793546,5.727088301761907,3.8,3.2,3.8,0.14285714285714285,1.0,7.0,treated,,IA,gold_main,GRANDVIEW HEALTHCARE CENTER,2024.0,1,1,1
165341,61.0,49.028571428571425,0.5504019815498699,3.4372551387353063,5.0,5.0,3.4,0.14285714285714285,1.0,7.0,treated,,IA,gold_main,OELWEIN HEALTH CARE CENTER,2024.0,1,1,1
165342,50.0,33.48571428571429,0.6211692042889593,4.143453346551605,4.2,4.4,4.2,0.14285714285714285,1.0,7.0,treated,,IA,gold_main,WILLOW DALE WELLNESS VILLAGE,2024.0,1,1,1
165343,77.0,42.528571428571425,0.6809223209497001,3.8130787986142467,3.2,4.0,4.0,0.14285714285714285,1.0,7.0,treated,,IA,gold_main,PARK VIEW REHABILITATION CENTER,2024.0,1,1,1
165346,50.0,24.928571428571427,0.9649060055851312,3.684807846650154,4.0,4.4,4.0,0.14285714285714285,1.0,7.0,treated,,IA,gold_main,MAPLE MANOR VILLAGE,2024.0,1,1,1
165347,50.0,44.1,0.4272871389054788,3.4859121800853994,4.6,4.8,3.2,0.14285714285714285,1.0,7.0,treated,,IA,silver_main,NORA SPRINGS CARE CENTER,2024.0,1,1,1
165352,50.0,36.857142857142854,0.855645529432267,3.671805923816742,4.4,4.4,4.2,0.14285714285714285,1.0,7.0,treated,,IA,silver_main,EMMETSBURG CARE CENTER,2024.0,1,1,1
165353,50.0,31.02857142857143,0.8037165946831683,3.8447289122164414,3.4,4.0,4.2,0.14285714285714285,1.0,7.0,treated,,IA,gold_main,VALLEY VUE CARE CENTER,2024.0,1,1,1
165361,69.0,45.4,0.5641375925637265,3.932021452643814,4.0,4.0,3.4,0.14285714285714285,1.0,7.0,treated,,IA,silver_main,ROLLING GREEN VILLAGE CARE CEN,2024.0,1,1,1
165363,71.0,48.05714285714286,0.5238048326210243,4.125434102599185,4.8,4.8,4.0,0.14285714285714285,1.0,7.0,treated,,IA,gold_main,WESTVIEW CARE CENTER,2024.0,1,1,1
165364,66.0,44.42857142857143,0.531296775211504,3.9420918764611548,4.6,5.0,3.4,0.14285714285714285,1.0,7.0,treated,,IA,gold_main,CONCORD CARE CENTER,2024.0,1,1,1
