ccn_str,matched_control
055715,1
056345,1
056423,1
555832,1
055283,1
555906,1
555126,1
555599,1
555766,1
056353,1
555016,1
555524,1
106116,1
105452,1
105057,1
106002,1
105657,1
105724,1
105578,1
105461,1
105354,1
105447,1
105592,1
105917,1
105301,1
105321,1
105083,1
105671,1
106149,1
105831,1
105623,1
106042,1
105423,1
105166,1
105870,1
105311,1
165309,1
165589,1
165297,1
165379,1
165285,1
165425,1
165388,1
165460,1
165472,1
165550,1
165269,1
165412,1
165625,1
165402,1
165444,1
165377,1
165408,1
165594,1
165474,1
165224,1
165374,1
165577,1
165604,1
165019,1
165295,1
165621,1
165567,1
165357,1
165254,1
165296,1
165549,1
165462,1
165332,1
165522,1
165456,1
165243,1
165495,1
165331,1
165263,1
165489,1
165565,1
165504,1
165447,1
165446,1
165439,1
165318,1
165499,1
165537,1
165327,1
165406,1
165790,1
165420,1
165613,1
165528,1
165286,1
165375,1
165172,1
165290,1
165626,1
165252,1
165610,1
165605,1
165259,1
165467,1
165791,1
165795,1
165267,1
165490,1
165279,1
215020,1
215328,1
215108,1
345543,1
345268,1
345151,1
315452,1
315442,1
315473,1
315166,1
315393,1
315413,1
315499,1
315469,1
315215,1
395898,1
395023,1
395763,1
395296,1
395582,1
395454,1
395479,1
395650,1
395494,1
675756,1
675857,1
675081,1
675391,1
676173,1
676339,1
676008,1
455832,1
455455,1
495273,1
495071,1
495362,1
495131,1
495348,1
495318,1
495121,1
495068,1
495135,1
