ccn_str,matched_control
075431,1
075351,1
075221,1
085041,1
085012,1
085002,1
085047,1
085015,1
085001,1
085056,1
085050,1
085043,1
155132,1
155482,1
155546,1
155707,1
155724,1
155796,1
155026,1
155196,1
155719,1
155803,1
155813,1
155805,1
155802,1
155667,1
155760,1
155675,1
155740,1
155738,1
155684,1
155800,1
155790,1
155170,1
155781,1
155769,1
155732,1
155784,1
155759,1
155516,1
155832,1
155703,1
155356,1
155765,1
155373,1
155782,1
155726,1
155700,1
155297,1
155745,1
155662,1
155677,1
155783,1
155793,1
185138,1
185175,1
185208,1
185479,1
185436,1
185435,1
185315,1
185326,1
185484,1
215186,1
215299,1
215236,1
215215,1
215359,1
215328,1
235662,1
235535,1
235612,1
255280,1
255140,1
255232,1
255207,1
255191,1
255136,1
255093,1
255146,1
255262,1
255306,1
255206,1
255341,1
255325,1
255272,1
255311,1
255264,1
255113,1
255125,1
345004,1
345180,1
345222,1
345144,1
345389,1
345560,1
345143,1
345294,1
345213,1
345109,1
345355,1
345472,1
345490,1
345342,1
345212,1
345101,1
345253,1
345545,1
345110,1
345414,1
345127,1
345333,1
345085,1
345557,1
345428,1
345104,1
345404,1
345395,1
345273,1
345431,1
345245,1
345409,1
345499,1
345394,1
345170,1
345515,1
315176,1
315441,1
315179,1
315443,1
315224,1
315437,1
315378,1
315308,1
315327,1
315381,1
315013,1
315177,1
315524,1
315309,1
315171,1
315061,1
315348,1
315358,1
315427,1
315364,1
315143,1
315299,1
315180,1
315433,1
315188,1
315222,1
315217,1
315111,1
315105,1
315343,1
366440,1
366351,1
365996,1
395575,1
395899,1
395729,1
395692,1
395382,1
395416,1
395545,1
395013,1
395572,1
395643,1
395342,1
396054,1
396056,1
395031,1
396106,1
395535,1
395044,1
395698,1
495121,1
495079,1
495071,1
495117,1
495390,1
495223,1
515105,1
515131,1
515081,1
