treated_ccn,control_ccn,analysis_state,match_rank,distance
056283,055715,CA,1,7.56034109344883e-07
056283,056345,CA,2,6.704774203595068e-06
056283,056423,CA,3,1.4592249067229418e-05
555113,555832,CA,1,2.010382196276049e-05
555113,055283,CA,2,2.7503871560570145e-05
555113,555906,CA,3,8.410452451282184e-05
555542,555126,CA,1,1.722933664710484e-05
555542,555599,CA,2,3.007143743871503e-05
555542,555766,CA,3,4.962734824758529e-05
555645,056353,CA,1,8.65325893536703e-06
555645,555016,CA,2,2.2773240541524437e-05
555645,555524,CA,3,2.301979166144559e-05
105250,106116,FL,1,0.00025039156646750743
105250,105452,FL,2,0.0003977931809881069
105250,105057,FL,3,0.00045619398574777564
105336,106002,FL,1,0.00020533491714257168
105336,105657,FL,2,0.0007396192079664882
105336,105724,FL,3,0.0007866395436638002
105375,105578,FL,1,5.757771589981475e-05
105375,105461,FL,2,0.0002253541921346247
105375,105354,FL,3,0.0004822205067730734
105467,105447,FL,1,0.00012905848601625636
105467,105592,FL,2,0.0001401217527304474
105467,105917,FL,3,0.00018997910692097886
105640,105301,FL,1,1.9018281477850563e-05
105640,105321,FL,2,0.00015206422386542136
105640,105083,FL,3,0.0002902771583978541
105649,105671,FL,1,0.0002022197804853118
105649,106149,FL,2,0.0003481917889638364
105649,105831,FL,3,0.0005618926884097125
106095,105623,FL,1,4.028376724650104e-05
106095,106042,FL,2,0.00010757239447622968
106095,105423,FL,3,0.0001367468026196965
106099,105166,FL,1,6.653738586610836e-06
106099,105870,FL,2,5.9034509481858954e-05
106099,105311,FL,3,0.0002810159200064867
165152,165309,IA,1,1.8412019312019634e-05
165152,165589,IA,2,3.43041909874886e-05
165152,165297,IA,3,0.00023092418625651756
165303,165379,IA,1,0.0014583991165742632
165303,165285,IA,2,0.0018380442699403032
165303,165425,IA,3,0.0022939406170229826
165325,165388,IA,1,0.0006213593086078217
165325,165460,IA,2,0.0028585746016101393
165325,165472,IA,3,0.004038704866157677
165326,165550,IA,1,0.002105431778101151
165326,165269,IA,2,0.004261848822245229
165326,165412,IA,3,0.005002117096321458
165334,165625,IA,1,0.0009570847096459084
165334,165402,IA,2,0.002071404478445546
165334,165444,IA,3,0.00256106919310041
165338,165377,IA,1,0.00016999366465728083
165338,165408,IA,2,0.0004414926194120372
165338,165594,IA,3,0.00047217095689106037
165340,165474,IA,1,0.0004512659773194261
165340,165224,IA,2,0.0012218074126777098
165340,165374,IA,3,0.0012778045601012991
165341,165577,IA,1,0.0005343441865894027
165341,165604,IA,2,0.0013124595175979803
165341,165019,IA,3,0.0014569926223063356
165342,165295,IA,1,0.0004903134008788501
165342,165621,IA,2,0.0008254743034685208
165342,165567,IA,3,0.0029780803788132526
165343,165357,IA,1,0.004201923260701443
165343,165254,IA,2,0.005567434642371624
165343,165296,IA,3,0.007032638893991527
165346,165549,IA,1,0.0005939515797632744
165346,165462,IA,2,0.001033647537011101
165346,165332,IA,3,0.0036107134462378954
165347,165522,IA,1,0.0009294038921069114
165347,165456,IA,2,0.0013946603340335706
165347,165243,IA,3,0.002479187036618674
165352,165495,IA,1,0.0062340928914466215
