treated_ccn,control_ccn,analysis_state,match_rank,distance
075240,075431,CT,1,2.7391223558853595e-05
075240,075351,CT,2,2.793257739896332e-05
075240,075221,CT,3,3.8488245122689224e-05
085013,085041,DE,1,0.004704366041134944
085013,085012,DE,2,0.009874305665817928
085013,085002,DE,3,0.054200461564897745
085027,085047,DE,1,0.0021375962337593923
085027,085015,DE,2,0.0046680261116952
085027,085001,DE,3,0.05591273138015476
085042,085056,DE,1,0.028831742655716863
085042,085050,DE,2,0.031170089881838975
085042,085043,DE,3,0.034906843980469615
155495,155132,IN,1,0.0001486572868610453
155495,155482,IN,2,0.0001681192330338331
155495,155546,IN,3,0.0002585093493066605
155680,155707,IN,1,0.00016126465810722967
155680,155724,IN,2,0.00029059083240322303
155680,155796,IN,3,0.000322619433965457
155712,155026,IN,1,0.0004737603411442831
155712,155196,IN,2,0.0005077982725619906
155712,155719,IN,3,0.0008303924611221813
155727,155803,IN,1,0.0008184682782705899
155727,155813,IN,2,0.001564323032771972
155727,155805,IN,3,0.004953957973148709
155735,155802,IN,1,0.004791867926746227
155735,155667,IN,2,0.008118153569351153
155735,155760,IN,3,0.008711586264082749
155736,155675,IN,1,0.003968867264022458
155736,155740,IN,2,0.0045155682744883185
155736,155738,IN,3,0.004594014381639949
155762,155684,IN,1,0.0003934304825738838
155762,155800,IN,2,0.0006461718289171303
155762,155790,IN,3,0.00390035510116514
155772,155170,IN,1,0.0035127905189010766
155772,155781,IN,2,0.004056904512041742
155772,155769,IN,3,0.0056755876792349
155775,155732,IN,1,0.007200243477839763
155775,155784,IN,2,0.007452149105064712
155775,155759,IN,3,0.010150882791107152
155777,155516,IN,1,0.0005138449793999911
155777,155832,IN,2,0.002250841955500016
155777,155703,IN,3,0.0024706089105260842
155779,155356,IN,1,0.002945016144350193
155779,155765,IN,2,0.008420825075956984
155779,155373,IN,3,0.013398832408172162
155791,155782,IN,1,0.005104877565781901
155791,155726,IN,2,0.0053710423528061935
155791,155700,IN,3,0.00782332086627098
155795,155297,IN,1,0.008739350182722691
155795,155745,IN,2,0.010129288609066908
155795,155662,IN,3,0.010307728908476907
155797,155677,IN,1,0.026738562207648434
155797,155783,IN,2,0.027224376601155245
155797,155793,IN,3,0.028927004794519803
185132,185138,KY,1,2.75648195969605e-05
185132,185175,KY,2,0.00047241650970397675
185132,185208,KY,3,0.0009614934246506071
185145,185479,KY,1,0.00021712959858290193
185145,185436,KY,2,0.000281298929337169
185145,185435,KY,3,0.0010588077716567265
185210,185315,KY,1,0.0007080210078304755
185210,185326,KY,2,0.000913256550087789
185210,185484,KY,3,0.0010014337143405341
215096,215186,MD,1,3.506206615722096e-05
215096,215299,MD,2,7.26636986971528e-05
215096,215236,MD,3,0.00025376542999876184
215143,215215,MD,1,0.00010218400269802058
215143,215359,MD,2,0.00017450213928899352
215143,215328,MD,3,0.0003069163148798834
235451,235662,MI,1,3.5153472197834226e-05
235451,235535,MI,2,0.0002638317861681696
235451,235612,MI,3,0.00030472987801954086
255145,255280,MS,1,0.00034355665176960537
255145,255140,MS,2,0.0013012255120719851
255145,255232,MS,3,0.001897709541588244
255171,255207,MS,1,0.0001417993887724428
255171,255191,MS,2,0.0009193888385756188
255171,255136,MS,3,0.0010995962239317009
255172,255093,MS,1,0.0009668903183824851
255172,255146,MS,2,0.0013365006534991203
255172,255262,MS,3,0.0013836691617937352
255173,255306,MS,1,3.844063784627649e-05
255173,255206,MS,2,0.00019334880948437133
255173,255341,MS,3,0.0006197884921839564
255260,255325,MS,1,0.0006014145696540685
255260,255272,MS,2,0.0006853477788432011
255260,255311,MS,3,0.0010892675223346249
255261,255264,MS,1,0.0020948366178834693
255261,255113,MS,2,0.0021718213308289797
255261,255125,MS,3,0.0022067554267474337
345089,345004,NC,1,5.430339617309987e-05
345089,345180,NC,2,0.0001684072022571509
345089,345222,NC,3,0.0005137036267722078
345258,345144,NC,1,0.00014412415428038255
345258,345389,NC,2,0.00017563744973797535
345258,345560,NC,3,0.000228941816549387
345329,345143,NC,1,0.0002546950838997336
345329,345294,NC,2,0.0005943798159359637
345329,345213,NC,3,0.0006567758514718983
345426,345109,NC,1,4.738422908021067e-05
345426,345355,NC,2,0.00010971273852772301
345426,345472,NC,3,0.00027022364809023425
345436,345490,NC,1,0.00018426773708489497
345436,345342,NC,2,0.00136419507934038
345436,345212,NC,3,0.001561636117553375
345442,345101,NC,1,0.0009065464697618625
345442,345253,NC,2,0.002277617655469133
345442,345545,NC,3,0.002782743400299076
345447,345110,NC,1,0.00010020683070804948
345447,345414,NC,2,0.00036418103423790926
345447,345127,NC,3,0.0005025712532149978
345450,345333,NC,1,0.00016856977090566605
345450,345085,NC,2,0.0010200948385040848
345450,345557,NC,3,0.0019738895500254483
345464,345428,NC,1,0.0012752387829188666
345464,345104,NC,2,0.0029751610238933773
345464,345404,NC,3,0.003793688860108932
345466,345395,NC,1,0.0032133104388311212
345466,345273,NC,2,0.003921672646138255
345466,345431,NC,3,0.004161469067944262
345473,345245,NC,1,0.004267650274977233
345473,345409,NC,2,0.004745309020808747
345473,345499,NC,3,0.0050448352343810815
345477,345394,NC,1,0.0006135643555080367
345477,345170,NC,2,0.0007629824203414098
345477,345515,NC,3,0.0009572672598025384
315015,315176,NJ,1,1.4794592201800016e-05
315015,315441,NJ,2,0.0002980716992743576
315015,315179,NJ,3,0.0003330420912892873
315050,315443,NJ,1,0.00011178546249523968
315050,315224,NJ,2,0.00029900614917993673
315050,315437,NJ,3,0.0005448234093668181
315094,315378,NJ,1,0.00037742834757679977
315094,315308,NJ,2,0.0005034096712235869
315094,315327,NJ,3,0.0007852745589310428
315207,315381,NJ,1,0.00032380053165870226
315207,315013,NJ,2,0.0007033945745799075
315207,315177,NJ,3,0.0011477514827404195
315216,315524,NJ,1,0.00012225474772052658
315216,315309,NJ,2,0.00027014847842298656
315216,315171,NJ,3,0.0004269949186777519
315219,315061,NJ,1,2.8175024769150347e-05
315219,315348,NJ,2,9.027634067505785e-05
315219,315358,NJ,3,0.0001471997408111353
315228,315427,NJ,1,7.535141799241973e-06
315228,315364,NJ,2,1.873613280130998e-05
315228,315143,NJ,3,6.233521878573622e-05
315316,315299,NJ,1,6.339240480920938e-06
315316,315180,NJ,2,0.0001931546134551279
315316,315433,NJ,3,0.00028163009269469713
315349,315188,NJ,1,6.994423088215601e-05
315349,315222,NJ,2,0.00015791508669522197
315349,315217,NJ,3,0.0001780376913257109
315362,315111,NJ,1,0.0002732358225835396
315362,315105,NJ,2,0.0008598780061742778
315362,315343,NJ,3,0.0010338562870077228
366365,366440,OH,1,1.7416228274370893e-05
366365,366351,OH,2,8.891654569525252e-05
366365,365996,OH,3,9.735128940392516e-05
395172,395575,PA,1,1.8679438230466416e-06
395172,395899,PA,2,0.0001601255297287718
395172,395729,PA,3,0.00018192244681257755
395265,395692,PA,1,0.0001937002760138036
