analysis_spec,sample_role,analysis_sample_label,treatment_analysis_sample,ccn_str,analysis_facility_name,analysis_state,year,ever_treated,treat_year,post_treat,event_time,deal_id,pe_firm,platform_name,transition_type,transition_verified,verification_tier,ownership_effective_date,baseline_medicaid_share,baseline_medicaid_n_years,baseline_medicare_share,baseline_medicare_n_years,baseline_avgadl_mds3,baseline_avgadl_mds3_n_years,high_medicare,ltcfocus_avgadl_mds3,ltcfocus_avg_dailycensus,any_private_equity_owner,any_reit_owner,any_trust_owner,any_investment_firm_owner,any_holding_company_owner,any_management_company_owner,baseline_window_start,baseline_window_end,baseline_method,valid_pseudocohorts,has_baseline_medicaid,has_form671,has_pbj_nurse,has_provider_info,has_provider_info_latest,has_owner_snapshot,has_chow_event,has_enrollment_snapshot,control_v2_gold_plus_silver_eligible,control_v2_gold_plus_silver_staffing_eligible,panel_years,years_with_form671,years_with_pbj_nurse,pbj_days_observed,pbj_mean_census,pbj_total_rn_hours,pbj_total_nurse_hours,pbj_mean_rn_hprd,pbj_mean_nurse_hprd,provider_reported_staffing_hprd,provider_staffing_rating,provider_rn_staffing_rating,provider_health_rating,provider_overall_rating,provider_qm_rating,provider_survey_score,provider_reported_incidents,provider_subst_complaints,provider_ic_citations,provider_number_of_fines,provider_total_fines_dollars,provider_payment_denials,provider_total_penalties,provider_changed_ownership_12m,form671_total_residents_mean,form671_medicaid_census_mean,form671_medicare_census_mean,form671_medicaid_share_mean,provider_ownership_type,provider_certified_beds,provider_avg_residents_per_day,provider_legal_business_name,provider_chain_name,provider_chain_id,provider_name,provider_state,facility_name_treatment,state_treatment,city_treatment,provider_processing_date,outcome_available_pbj_staffing,has_provider_staffing_outcome,has_star_rating_outcome,has_form671_payer_mix_outcome,sample_main_staffing,sample_provider_staffing,sample_star_ratings,sample_payer_mix_outcome
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055001,REDLANDS HEALTHCARE CENTER,CA,2016,0,,,,,,,,,,,45.05328279883382,3.0,17.082402332361518,3.0,19.446184645286685,3.0,0,20.66,71.7,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,0,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,,,,,,,5.05221,4.0,4.0,2.0,4.0,5.0,84.500,0.0,1.0,,0.0,0.0,0.0,0.0,N,,,,,For profit - Corporation,78.0,68.0,ASH HOLDINGS LLC,,,REDLANDS HEALTHCARE CENTER,,,,,,0,1,1,0,0,1,1,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055001,REDLANDS HEALTHCARE CENTER,CA,2017,0,,,,,,,,,,,45.05328279883382,3.0,17.082402332361518,3.0,19.446184645286685,3.0,0,20.5,73.65,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,1,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,365.0,73.89711870255348,12457.83,100730.58,0.4620546192739691,3.7364751287963296,4.79589,4.0,4.0,4.0,4.0,3.0,36.167,0.0,2.0,,1.0,7000.0,0.0,1.0,N,,,,,For profit - Partnership,78.0,73.0,ASH HOLDINGS LLC,,,REDLANDS HEALTHCARE CENTER,,,,,2017-12-01,1,1,1,0,1,1,1,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055001,REDLANDS HEALTHCARE CENTER,CA,2018,0,,,,,,,,,,,45.05328279883382,3.0,17.082402332361518,3.0,19.446184645286685,3.0,0,19.31,73.36,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,1,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,365.0,72.79966090672613,11548.47,100720.83,0.4345939915094741,3.794717267914739,3.8675,,3.0,,,,15.200,0.0,4.0,,0.0,0.0,0.0,0.0,N,,,,,For profit - Partnership,78.0,72.2,ASH HOLDINGS LLC,,,REDLANDS HEALTHCARE CENTER,,,,,2018-12-01,1,1,0,0,1,1,0,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055001,REDLANDS HEALTHCARE CENTER,CA,2019,0,,,,,,,,,,,45.05328279883382,3.0,17.082402332361518,3.0,19.446184645286685,3.0,0,19.11,73.54,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,1,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,365.0,72.18637190104582,10997.55,98123.73,0.4181468235515886,3.727732016290972,3.73115,,2.0,,,,33.333,0.0,5.0,,0.0,0.0,0.0,0.0,N,,,,,For profit - Corporation,78.0,71.4,ASH HOLDINGS LLC,,,REDLANDS HEALTHCARE CENTER,,,,,2019-11-01,1,1,0,0,1,1,0,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055001,REDLANDS HEALTHCARE CENTER,CA,2020,0,,,,,,,,,,,45.05328279883382,3.0,17.082402332361518,3.0,19.446184645286685,3.0,0,18.63,47.28,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,1,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,275.0,61.51823538780061,8244.470000000001,65424.33,0.5029248284403532,3.9629833623005872,3.86593,3.0,3.0,3.0,4.0,5.0,56.667,0.0,3.0,,0.0,0.0,0.0,0.0,N,,,,,For profit - Corporation,78.0,61.0,ASH HOLDINGS LLC,,,REDLANDS HEALTHCARE CENTER,,,,,2020-11-01,1,1,1,0,1,1,1,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055001,REDLANDS HEALTHCARE CENTER,CA,2021,0,,,,,,,,,,,45.05328279883382,3.0,17.082402332361518,3.0,19.446184645286685,3.0,0,18.69,72.04,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,1,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,365.0,71.0217032967033,10839.75,101647.2,0.4189477115074983,3.92116751446629,3.83598,2.0,2.0,3.0,4.0,5.0,60.000,1.0,2.0,1.0,1.0,3250.0,0.0,1.0,N,,,,,For profit - Corporation,78.0,72.2,ASH HOLDINGS LLC,,,REDLANDS HEALTHCARE CENTER,,,,,2021-11-01,1,1,1,0,1,1,1,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055001,REDLANDS HEALTHCARE CENTER,CA,2022,0,,,,,,,,,,,45.05328279883382,3.0,17.082402332361518,3.0,19.446184645286685,3.0,0,19.21,73.99,False,False,False,False,True,False,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,1,1,1,1,0,1,1.0,1.0,11.0,3.0,9.0,365.0,72.78221916971917,9276.28,103485.23,0.3490555630971762,3.9001370221357816,4.02888,2.0,,3.0,4.0,5.0,68.000,1.0,4.0,2.0,1.0,3250.0,0.0,1.0,N,,,,,For profit - Corporation,78.0,72.9,ASH HOLDINGS LLC,,,REDLANDS HEALTHCARE CENTER,,,,,2022-11-01,1,1,1,0,1,1,1,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055001,REDLANDS HEALTHCARE CENTER,CA,2023,0,,,,,,,,,,,45.05328279883382,3.0,17.082402332361518,3.0,19.446184645286685,3.0,0,17.85,,False,False,False,False,True,False,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,1,1,1,1,1,0,1,1.0,1.0,11.0,3.0,9.0,365.0,74.75421378138769,9697.49,107661.98,0.3557189454262355,3.94704445598664,3.94653,3.0,,3.0,3.0,4.0,64.000,0.0,4.0,2.0,1.0,3250.0,0.0,1.0,N,72.0,20.0,26.0,0.2777777777777778,For profit - Corporation,78.0,74.4,ASH HOLDINGS LLC,PROVIDENCE GROUP,429.0,REDLANDS HEALTHCARE CENTER,CA,,,,2023-11-01,1,1,1,1,1,1,1,1
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055001,REDLANDS HEALTHCARE CENTER,CA,2024,0,,,,,,,,,,,45.05328279883382,3.0,17.082402332361518,3.0,19.446184645286685,3.0,0,,,False,False,False,False,True,False,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,1,1,1,1,1,0,1,1.0,1.0,11.0,3.0,9.0,366.0,74.27269469660774,10644.46,112053.34,0.3918722101133955,4.124067172738057,4.04197,2.0,,4.0,4.0,4.0,52.000,1.0,4.0,1.0,0.0,0.0,0.0,0.0,N,73.0,29.0,24.0,0.3972602739726027,For profit - Limited Liability company,78.0,74.4,ASH HOLDINGS LLC,PACS GROUP,690.0,REDLANDS HEALTHCARE CENTER,CA,,,,2024-11-01,1,1,1,1,1,1,1,1
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055001,REDLANDS HEALTHCARE CENTER,CA,2025,0,,,,,,,,,,,45.05328279883382,3.0,17.082402332361518,3.0,19.446184645286685,3.0,0,,,False,False,False,False,True,False,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,1,1,1,1,1,0,1,1.0,1.0,11.0,3.0,9.0,273.0,73.99146891755588,7763.16,84293.68,0.384727060417881,4.175863823598583,4.06936,2.0,,5.0,5.0,4.0,16.000,1.0,3.0,,0.0,0.0,0.0,0.0,N,76.0,27.0,30.0,0.3552631578947369,For profit - Limited Liability company,78.0,74.9,ASH HOLDINGS LLC,PACS GROUP,690.0,REDLANDS HEALTHCARE CENTER,CA,,,,2025-11-01,1,1,1,1,1,1,1,1
