="CSDID event study: total nurse HPRD (gold+silver)"

="",="(1)",="(2)",="(3)"
="",="National",="Same-state",="Matched"

="Pre_avg",="-0.0493",="-0.0465",="-0.00550"
="",="(0.0351)",="(0.0343)",="(0.0386)"

="Post_avg",="-0.202***",="-0.197***",="-0.164***"
="",="(0.0566)",="(0.0576)",="(0.0627)"

="Tm2",="-0.0469",="-0.0530",="-0.0540"
="",="(0.0432)",="(0.0432)",="(0.0478)"

="Tm1",="-0.0518",="-0.0400",="0.0430"
="",="(0.0581)",="(0.0563)",="(0.0670)"

="Tp0",="-0.0926*",="-0.0940*",="-0.0827"
="",="(0.0480)",="(0.0485)",="(0.0512)"

="Tp1",="-0.218***",="-0.213***",="-0.189***"
="",="(0.0638)",="(0.0639)",="(0.0701)"

="Tp2",="-0.296***",="-0.284***",="-0.222**"
="",="(0.0839)",="(0.0865)",="(0.0958)"

="Observations",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
