="REIT CSDID event study: LTCFocus direct-care HPRD"

="",="(1)",="(2)",="(3)"
="",="National",="Same-state",="Matched"

="Pre_avg",="-0.0405",="-0.0274",="-0.0290"
="",="(0.0322)",="(0.0326)",="(0.0354)"

="Post_avg",="-0.166***",="-0.147***",="-0.117**"
="",="(0.0533)",="(0.0530)",="(0.0589)"

="Tm2",="-0.0504",="-0.0420",="-0.0462"
="",="(0.0738)",="(0.0743)",="(0.0776)"

="Tm1",="-0.0307",="-0.0129",="-0.0118"
="",="(0.0631)",="(0.0634)",="(0.0680)"

="Tp0",="-0.0640",="-0.0541",="-0.0552"
="",="(0.0493)",="(0.0496)",="(0.0574)"

="Tp1",="-0.119*",="-0.0967",="-0.0673"
="",="(0.0694)",="(0.0694)",="(0.0752)"

="Tp2",="-0.314***",="-0.290***",="-0.229***"
="",="(0.0846)",="(0.0833)",="(0.0881)"

="Observations",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
