="REIT CSDID event study: LTCFocus RN HPRD"

="",="(1)",="(2)",="(3)"
="",="National",="Same-state",="Matched"

="Pre_avg",="0.0219",="0.0256*",="0.0219"
="",="(0.0139)",="(0.0139)",="(0.0151)"

="Post_avg",="-0.0712***",="-0.0694***",="-0.0477*"
="",="(0.0219)",="(0.0221)",="(0.0244)"

="Tm2",="0.00798",="0.0103",="0.0150"
="",="(0.0211)",="(0.0212)",="(0.0229)"

="Tm1",="0.0358",="0.0409",="0.0288"
="",="(0.0248)",="(0.0250)",="(0.0263)"

="Tp0",="-0.0385*",="-0.0362*",="-0.0211"
="",="(0.0203)",="(0.0204)",="(0.0231)"

="Tp1",="-0.0785***",="-0.0780***",="-0.0591*"
="",="(0.0281)",="(0.0284)",="(0.0305)"

="Tp2",="-0.0965***",="-0.0938***",="-0.0631*"
="",="(0.0300)",="(0.0305)",="(0.0341)"

="Observations",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
