="REIT high/low Medicaid split: direct-care hours per resident day"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="Nat.",="low",="Nat.",="high",="State",="low"

="did_treat",="-0.851***",="-0.139*",="-0.781***",="-0.0733",="-0.643***",="-0.0996"
="",="(0.193)",="(0.0719)",="(0.194)",="(0.0724)",="(0.200)",="(0.0881)"

="year=2009",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="year=2010",="0.0372",="0.0384***",="0.0703",="0.0401***",="0.272",="0.0301"
="",="(0.0233)",="(0.0115)",="(0.0487)",="(0.0152)",="(0.234)",="(0.0405)"

="year=2011",="0.0496**",="0.0704***",="-0.00701",="0.0823***",="-0.104",="0.0140"
="",="(0.0213)",="(0.0126)",="(0.0418)",="(0.0173)",="(0.105)",="(0.0480)"

="year=2012",="0.0667***",="0.0752***",="0.0486",="0.0850***",="0.0187",="0.0255"
="",="(0.0211)",="(0.0132)",="(0.0415)",="(0.0177)",="(0.107)",="(0.0460)"

="year=2013",="0.116***",="0.115***",="0.110***",="0.124***",="-0.0121",="0.0860*"
="",="(0.0224)",="(0.0129)",="(0.0403)",="(0.0177)",="(0.101)",="(0.0487)"

="year=2014",="0.121***",="0.137***",="0.0828**",="0.143***",="0.0315",="0.0687"
="",="(0.0214)",="(0.0133)",="(0.0385)",="(0.0181)",="(0.0918)",="(0.0459)"

="year=2015",="0.0842***",="0.114***",="0.0645",="0.0982***",="0.00738",="0.0422"
="",="(0.0238)",="(0.0162)",="(0.0437)",="(0.0237)",="(0.123)",="(0.0493)"

="year=2016",="0.125***",="0.0801***",="0.0893*",="0.0502**",="-0.0505",="-0.0290"
="",="(0.0245)",="(0.0154)",="(0.0468)",="(0.0205)",="(0.109)",="(0.0548)"

="year=2017",="0.0557**",="0.0496***",="-0.0190",="0.0114",="-0.227**",="-0.0881"
="",="(0.0227)",="(0.0146)",="(0.0429)",="(0.0199)",="(0.110)",="(0.0647)"

="year=2018",="-0.0405*",="0.00217",="-0.115***",="-0.0599***",="-0.325***",="-0.0773"
="",="(0.0224)",="(0.0253)",="(0.0429)",="(0.0202)",="(0.118)",="(0.0657)"

="year=2019",="-0.0880***",="-0.0477***",="-0.179***",="-0.112***",="-0.301***",="-0.0716"
="",="(0.0218)",="(0.0146)",="(0.0417)",="(0.0186)",="(0.114)",="(0.0629)"

="year=2020",="0.0426*",="-0.0467***",="-0.0492",="-0.138***",="-0.205*",="-0.154**"
="",="(0.0230)",="(0.0170)",="(0.0467)",="(0.0213)",="(0.121)",="(0.0669)"

="year=2021",="-0.0335",="-0.0386**",="-0.157***",="-0.133***",="-0.392***",="-0.201**"
="",="(0.0229)",="(0.0163)",="(0.0436)",="(0.0229)",="(0.127)",="(0.0839)"

="year=2022",="-0.218***",="-0.184***",="-0.346***",="-0.281***",="-0.619***",="-0.309***"
="",="(0.0220)",="(0.0156)",="(0.0412)",="(0.0231)",="(0.121)",="(0.0852)"

="year=2023",="-0.221***",="-0.145***",="-0.309***",="-0.198***",="-0.456***",="-0.195**"
="",="(0.0222)",="(0.0154)",="(0.0420)",="(0.0229)",="(0.121)",="(0.0795)"

="Constant",="3.929***",="3.450***",="4.077***",="3.453***",="3.974***",="3.374***"
="",="(0.0172)",="(0.0104)",="(0.0329)",="(0.0134)",="(0.0848)",="(0.0407)"

="Observations",="75523",="65933",="22376",="22265",="1689",="1787"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
