="Main DID: total nurse hours per resident day (gold+silver)"

="",="(1)",="(2)",="(3)"
="",="National",="Same-state",="Matched"

="did_treat",="-0.194***",="-0.191***",="-0.121**"
="",="(0.0523)",="(0.0523)",="(0.0581)"

="2017.year",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="2018.year",="0.0481***",="0.0705***",="0.0270"
="",="(0.00572)",="(0.0109)",="(0.0325)"

="2019.year",="0.0315***",="0.0679***",="0.0161"
="",="(0.00625)",="(0.0110)",="(0.0336)"

="2020.year",="0.201***",="0.257***",="0.175***"
="",="(0.00806)",="(0.0139)",="(0.0432)"

="2021.year",="0.0604***",="0.131***",="0.0888**"
="",="(0.00790)",="(0.0138)",="(0.0450)"

="2022.year",="-0.0626***",="0.00195",="0.0283"
="",="(0.00769)",="(0.0139)",="(0.0615)"

="2023.year",="-0.0229***",="0.00391",="-0.111**"
="",="(0.00778)",="(0.0138)",="(0.0511)"

="2024.year",="0.0383***",="0.0681***",="-0.0571"
="",="(0.00797)",="(0.0144)",="(0.0533)"

="2025.year",="0.0825***",="0.105***",="-0.0348"
="",="(0.00817)",="(0.0146)",="(0.0499)"

="Constant",="3.937***",="3.992***",="3.855***"
="",="(0.00529)",="(0.00939)",="(0.0317)"

="Observations",="82936",="26543",="1730"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
