="Medicaid terciles: total nurse hours per resident day"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="Nat. low",="Nat. mid",="Nat. high",="State low",="State mid",="State high",="Match low",="Match mid",="Match high"

="did_treat",="-0.0275",="-0.185***",="-0.326***",="-0.0785",="-0.156**",="-0.308***",="-0.0793",="-0.00462",="-0.225**"
="",="(0.0819)",="(0.0666)",="(0.104)",="(0.0831)",="(0.0673)",="(0.103)",="(0.0933)",="(0.0953)",="(0.111)"

="2017.year",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2018.year",="0.0811***",="0.0365***",="0.0341***",="0.0877***",="0.0490***",="0.0705***",="0.0636*",="0.00173",="-0.00493"
="",="(0.0150)",="(0.00856)",="(0.00689)",="(0.0233)",="(0.0144)",="(0.0162)",="(0.0343)",="(0.0907)",="(0.0414)"

="2019.year",="0.0599***",="0.0223**",="0.0188**",="0.0909***",="0.0611***",="0.0535***",="0.0550",="-0.0614",="0.0409"
="",="(0.0161)",="(0.00961)",="(0.00764)",="(0.0224)",="(0.0197)",="(0.0148)",="(0.0578)",="(0.0580)",="(0.0518)"

="2020.year",="0.308***",="0.180***",="0.144***",="0.366***",="0.195***",="0.203***",="0.271***",="0.0259",="0.188***"
="",="(0.0210)",="(0.0123)",="(0.00939)",="(0.0289)",="(0.0253)",="(0.0174)",="(0.0723)",="(0.0786)",="(0.0632)"

="2021.year",="0.101***",="0.0408***",="0.0462***",="0.200***",="0.0636***",="0.117***",="0.130*",="0.00823",="0.118"
="",="(0.0197)",="(0.0123)",="(0.0101)",="(0.0300)",="(0.0206)",="(0.0185)",="(0.0703)",="(0.0758)",="(0.0909)"

="2022.year",="-0.0652***",="-0.0819***",="-0.0480***",="0.0514*",="-0.0648***",="0.00480",="0.111",="-0.102",="0.0468"
="",="(0.0186)",="(0.0128)",="(0.00990)",="(0.0276)",="(0.0244)",="(0.0199)",="(0.0761)",="(0.151)",="(0.0984)"

="2023.year",="-0.0404**",="-0.0373***",="-0.00140",="0.0562**",="-0.0529**",="-0.00245",="0.0328",="-0.320**",="-0.102"
="",="(0.0186)",="(0.0136)",="(0.00982)",="(0.0279)",="(0.0245)",="(0.0190)",="(0.0617)",="(0.121)",="(0.0859)"

="2024.year",="0.00149",="0.0216",="0.0744***",="0.0962***",="0.00463",="0.0875***",="0.0739",="-0.269**",="-0.0534"
="",="(0.0190)",="(0.0135)",="(0.0103)",="(0.0293)",="(0.0248)",="(0.0202)",="(0.0635)",="(0.132)",="(0.0846)"

="2025.year",="0.0412**",="0.0674***",="0.121***",="0.138***",="0.0434*",="0.118***",="0.0848",="-0.205*",="-0.0606"
="",="(0.0194)",="(0.0143)",="(0.0103)",="(0.0306)",="(0.0240)",="(0.0199)",="(0.0678)",="(0.109)",="(0.0903)"

="Constant",="4.493***",="3.826***",="3.636***",="4.429***",="3.792***",="3.732***",="3.940***",="3.793***",="3.775***"
="",="(0.0132)",="(0.00865)",="(0.00660)",="(0.0191)",="(0.0160)",="(0.0133)",="(0.0456)",="(0.0725)",="(0.0420)"

="Observations",="24036",="23135",="35765",="9286",="7004",="10253",="768",="506",="456"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
