="REIT Medicaid interaction: direct-care hours per resident day"

="",="(1)",="(2)",="(3)"
="",="National",="Same-state",="Matched"

="did_treat",="-0.293***",="-0.223***",="-0.164**"
="",="(0.0548)",="(0.0556)",="(0.0689)"

="baseline_medicaid_centered",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="did_treat # baseline_medicaid_centered",="0.0305***",="0.0306***",="0.0309***"
="",="(0.00788)",="(0.00789)",="(0.00808)"

="year=2009",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=2010",="0.0376***",="0.0546**",="0.133"
="",="(0.0133)",="(0.0248)",="(0.102)"

="year=2011",="0.0594***",="0.0380*",="-0.0465"
="",="(0.0126)",="(0.0222)",="(0.0561)"

="year=2012",="0.0706***",="0.0667***",="0.0152"
="",="(0.0127)",="(0.0222)",="(0.0556)"

="year=2013",="0.115***",="0.117***",="0.0312"
="",="(0.0132)",="(0.0216)",="(0.0535)"

="year=2014",="0.128***",="0.112***",="0.0438"
="",="(0.0129)",="(0.0209)",="(0.0501)"

="year=2015",="0.0991***",="0.0838***",="0.0584"
="",="(0.0146)",="(0.0245)",="(0.0640)"

="year=2016",="0.105***",="0.0719***",="-0.00601"
="",="(0.0148)",="(0.0252)",="(0.0587)"

="year=2017",="0.0536***",="-0.00145",="-0.123**"
="",="(0.0138)",="(0.0233)",="(0.0606)"

="year=2018",="-0.0199",="-0.0851***",="-0.164**"
="",="(0.0167)",="(0.0233)",="(0.0645)"

="year=2019",="-0.0694***",="-0.145***",="-0.176***"
="",="(0.0133)",="(0.0226)",="(0.0622)"

="year=2020",="0.00252",="-0.0909***",="-0.167**"
="",="(0.0145)",="(0.0255)",="(0.0659)"

="year=2021",="-0.0359**",="-0.146***",="-0.307***"
="",="(0.0143)",="(0.0244)",="(0.0730)"

="year=2022",="-0.203***",="-0.315***",="-0.475***"
="",="(0.0137)",="(0.0233)",="(0.0719)"

="year=2023",="-0.187***",="-0.255***",="-0.336***"
="",="(0.0137)",="(0.0236)",="(0.0692)"

="Constant",="3.706***",="3.766***",="3.671***"
="",="(0.0102)",="(0.0173)",="(0.0442)"

="Observations",="141456",="44641",="3476"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
