="REIT Medicaid terciles: direct-care hours per resident day"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="Nat.",="low",="Nat.",="mid",="Nat.",="high",="State",="low",="State"

="did_treat",="-1.100***",="-0.259***",="-0.100*",="-1.025***",="-0.191**",="-0.0414",="-0.811***",="-0.168",="-0.119"
="",="(0.260)",="(0.0934)",="(0.0598)",="(0.262)",="(0.0946)",="(0.0606)",="(0.276)",="(0.112)",="(0.0861)"

="year=2009",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="year=2010",="0.0324",="0.0464***",="0.0362***",="0.0901",="0.0337*",="0.0358**",="0.360",="0.0334",="0.0389"
="",="(0.0308)",="(0.0134)",="(0.0138)",="(0.0660)",="(0.0201)",="(0.0178)",="(0.333)",="(0.0668)",="(0.0380)"

="year=2011",="0.0355",="0.0824***",="0.0681***",="-0.0523",="0.0998***",="0.0790***",="-0.160",="0.0699",="-0.0351"
="",="(0.0276)",="(0.0162)",="(0.0150)",="(0.0539)",="(0.0297)",="(0.0208)",="(0.148)",="(0.0664)",="(0.0538)"

="year=2012",="0.0487*",="0.107***",="0.0652***",="0.0207",="0.108***",="0.0789***",="-0.00909",="0.0556",="0.0118"
="",="(0.0276)",="(0.0162)",="(0.0152)",="(0.0555)",="(0.0239)",="(0.0211)",="(0.151)",="(0.0728)",="(0.0441)"

="year=2013",="0.104***",="0.133***",="0.113***",="0.0891*",="0.150***",="0.117***",="-0.0795",="0.119*",="0.0672"
="",="(0.0292)",="(0.0154)",="(0.0155)",="(0.0538)",="(0.0230)",="(0.0218)",="(0.139)",="(0.0644)",="(0.0565)"

="year=2014",="0.102***",="0.165***",="0.128***",="0.0583",="0.148***",="0.139***",="-0.0161",="0.0810",="0.0688"
="",="(0.0277)",="(0.0170)",="(0.0155)",="(0.0515)",="(0.0237)",="(0.0216)",="(0.128)",="(0.0618)",="(0.0526)"

="year=2015",="0.0653**",="0.130***",="0.112***",="0.0499",="0.0919***",="0.108***",="0.0111",="0.0230",="0.0534"
="",="(0.0309)",="(0.0188)",="(0.0197)",="(0.0577)",="(0.0305)",="(0.0291)",="(0.174)",="(0.0705)",="(0.0593)"

="year=2016",="0.117***",="0.129***",="0.0663***",="0.0750",="0.117***",="0.0251",="-0.0892",="-0.00394",="-0.00632"
="",="(0.0318)",="(0.0188)",="(0.0184)",="(0.0630)",="(0.0278)",="(0.0237)",="(0.153)",="(0.0889)",="(0.0540)"

="year=2017",="0.0468",="0.0719***",="0.0441**",="-0.0413",="0.0334",="0.00651",="-0.308**",="-0.0242",="-0.0987"
="",="(0.0295)",="(0.0177)",="(0.0174)",="(0.0572)",="(0.0276)",="(0.0234)",="(0.147)",="(0.105)",="(0.0695)"

="year=2018",="-0.0563*",="0.00328",="0.00382",="-0.152***",="-0.0240",="-0.0710***",="-0.435***",="-0.0504",="-0.0701"
="",="(0.0291)",="(0.0177)",="(0.0351)",="(0.0574)",="(0.0261)",="(0.0246)",="(0.164)",="(0.0894)",="(0.0735)"

="year=2019",="-0.106***",="-0.0474***",="-0.0417**",="-0.221***",="-0.0921***",="-0.111***",="-0.432***",="-0.0632",="-0.0471"
="",="(0.0283)",="(0.0168)",="(0.0179)",="(0.0560)",="(0.0244)",="(0.0219)",="(0.155)",="(0.0950)",="(0.0644)"

="year=2020",="0.0475",="-0.0208",="-0.0407*",="-0.0614",="-0.0989***",="-0.127***",="-0.289*",="-0.125",="-0.127*"
="",="(0.0298)",="(0.0188)",="(0.0210)",="(0.0626)",="(0.0259)",="(0.0263)",="(0.169)",="(0.0922)",="(0.0734)"

="year=2021",="-0.0393",="-0.0397**",="-0.0295",="-0.181***",="-0.136***",="-0.117***",="-0.523***",="-0.223*",="-0.147"
="",="(0.0296)",="(0.0202)",="(0.0189)",="(0.0579)",="(0.0289)",="(0.0276)",="(0.169)",="(0.112)",="(0.0958)"

="year=2022",="-0.232***",="-0.200***",="-0.167***",="-0.369***",="-0.316***",="-0.254***",="-0.756***",="-0.409***",="-0.230**"
="",="(0.0284)",="(0.0186)",="(0.0189)",="(0.0549)",="(0.0271)",="(0.0288)",="(0.163)",="(0.103)",="(0.102)"

="year=2023",="-0.247***",="-0.162***",="-0.129***",="-0.351***",="-0.224***",="-0.174***",="-0.603***",="-0.314***",="-0.0686"
="",="(0.0287)",="(0.0182)",="(0.0186)",="(0.0561)",="(0.0266)",="(0.0284)",="(0.161)",="(0.117)",="(0.0770)"

="Constant",="4.085***",="3.452***",="3.449***",="4.280***",="3.476***",="3.456***",="4.255***",="3.393***",="3.333***"
="",="(0.0226)",="(0.0127)",="(0.0121)",="(0.0445)",="(0.0181)",="(0.0153)",="(0.119)",="(0.0624)",="(0.0407)"

="Observations",="56942",="39656",="44858",="16499",="13132",="15010",="1213",="1040",="1223"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
