ccn_str,facility_name_reit_file,state,owner_name_raw_primary,owner_cluster,year,event_time,ltcfocus_facility_name,ltcfocus_state,ltcfocus_total_beds,ltcfocus_residents,ltcfocus_avg_dailycensus,ltcfocus_medicaid_share,ltcfocus_medicare_share,ltcfocus_rn_hprd,ltcfocus_lpn_hprd,ltcfocus_cna_hprd,ltcfocus_directcare_hprd,ltcfocus_obs_rehosprate,ltcfocus_adj_rehosprate,pbj_source_files,pbj_days_observed,pbj_mean_census,pbj_total_rn_hours,pbj_total_nurse_hours,pbj_mean_rn_hprd,pbj_mean_nurse_hprd,cms_provider_name,cms_ownership_type,cms_legal_business_name,cms_chain_name,cms_overall_rating,cms_health_rating,cms_qm_rating,cms_staffing_rating,cms_rn_staffing_rating,cms_reported_total_nurse_hprd,cms_chow_last_12mos,cms_total_weighted_health_survey_score,cms_substantiated_complaints,deficiency_citations,deficiency_standard_citations,deficiency_complaint_citations,deficiency_infection_control_citations,deficiency_actual_harm_or_ij_citations,deficiency_unique_survey_dates,survey_summary_rows,survey_summary_total_health_deficiencies,survey_summary_total_fire_safety_deficiencies,survey_summary_infection_control_deficiencies
255260,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,FC ENCORE UNION LLC,FC ENCORE UNION LLC,2017,-2,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,60,53,55.43,82.46,12.28,0.334,0.836,1.441,2.611,0.1905,,4,365,55.10022628337846,13569.31,63334.54,0.6746901729982122,3.1500565584084836,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,For profit - Corporation,"HILLTOP MISSISSIPPI HEALTHCARE, LLC",,2.0,3.0,1.0,3.0,3.0,3.37982,N,18.000,0.0,2.0,2.0,0.0,,0.0,1.0,1.0,2.0,0.0,
255260,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,FC ENCORE UNION LLC,FC ENCORE UNION LLC,2018,-1,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,,51,56.02,,,,,,,,,4,365,55.833231804427456,15565.15,61683.43,0.7650890239875756,3.027448266287234,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,For profit - Corporation,"HILLTOP MISSISSIPPI HEALTHCARE, LLC",,,,,,4.0,2.99781,N,17.600,0.0,,,,,,,,,,
255260,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,FC ENCORE UNION LLC,FC ENCORE UNION LLC,2019,0,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,60,53,56.38,81.13,13.21,,,,,0.3333,0.2856,4,365,56.033029410203326,18739.49,71049.51000000001,0.9162628903383048,3.476247597227759,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,For profit - Corporation,"HILLTOP MISSISSIPPI HEALTHCARE, LLC",,,,,,4.0,3.52358,N,12.000,1.0,1.0,0.0,1.0,,0.0,1.0,1.0,0.0,0.0,
255260,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,FC ENCORE UNION LLC,FC ENCORE UNION LLC,2020,1,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,60,51,38.57,81.13,13.21,,,,,0.2667,0.1937,4,366,51.215032250358334,21732.72,67855.15,1.169949046476444,3.6431840160836826,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,For profit - Corporation,"HILLTOP MISSISSIPPI HEALTHCARE, LLC",,3.0,4.0,1.0,4.0,5.0,3.49796,N,14.000,1.0,,,,,,,,,,
255260,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,FC ENCORE UNION LLC,FC ENCORE UNION LLC,2021,2,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,60,44,51.76,67.27,3.64,,,,,0.3304,,4,365,51.30155478579391,18688.67,64689.91,1.007267862259673,3.4661001404822835,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,For profit - Corporation,"HILLTOP MISSISSIPPI HEALTHCARE, LLC",,3.0,4.0,1.0,4.0,5.0,3.61261,N,12.000,1.0,1.0,0.0,0.0,1.0,0.0,1.0,,,,
345258,Kannapolis Health and Rehabilitation,NC,FC ENCORE KANNAPOLIS LLC,FC ENCORE KANNAPOLIS LLC,2017,-2,TRANSITIONAL HEALTH SERVICES OF KANNAPOLIS,NC,107,87,93.95,71.28,9.57,0.262,0.675,0.129,1.066,0.1627,0.165,4,365,93.77621635610764,10871.34,116399.2,0.3181958817249544,3.4048427974753626,TRANSITIONAL HEALTH SERVICES OF KANNAPOLIS,For profit - Corporation,"KANNAPOLIS HEALTHCARE, LLC",,1.0,1.0,2.0,,,,N,193.167,36.0,19.0,11.0,8.0,,7.0,3.0,1.0,11.0,0.0,
345258,Kannapolis Health and Rehabilitation,NC,FC ENCORE KANNAPOLIS LLC,FC ENCORE KANNAPOLIS LLC,2018,-1,TRANSITIONAL HEALTH SERVICES OF KANNAPOLIS,NC,107,81,91.73,87.06,5.88,,,0.0,,0.1429,0.1403,4,365,91.31762555077772,11596.47,103995.21,0.3478889304641105,3.126399197386731,TRANSITIONAL HEALTH SERVICES OF KANNAPOLIS,For profit - Corporation,"KANNAPOLIS HEALTHCARE, LLC",,,,,,2.0,3.12926,N,216.600,25.0,6.0,3.0,3.0,,0.0,3.0,1.0,3.0,11.0,
345258,Kannapolis Health and Rehabilitation,NC,FC ENCORE KANNAPOLIS LLC,FC ENCORE KANNAPOLIS LLC,2019,0,TRANSITIONAL HEALTH SERVICES OF KANNAPOLIS,NC,107,89,93.62,69.23,16.48,,,,,0.1498,0.159,4,365,92.72880899293943,10156.52,103894.23,0.3005645533350652,3.078419745116335,TRANSITIONAL HEALTH SERVICES OF KANNAPOLIS,For profit - Corporation,"KANNAPOLIS HEALTHCARE, LLC",,,,,,1.0,3.07386,N,96.833,14.0,17.0,14.0,8.0,,0.0,1.0,1.0,14.0,4.0,
345258,Kannapolis Health and Rehabilitation,NC,FC ENCORE KANNAPOLIS LLC,FC ENCORE KANNAPOLIS LLC,2020,1,TRANSITIONAL HEALTH SERVICES OF KANNAPOLIS,NC,107,95,69.03,69.23,16.48,,,,,0.1569,0.1709,4,366,83.97076564739609,9510.1,95102.67,0.3130446783182918,3.123400105982004,TRANSITIONAL HEALTH SERVICES OF KANNAPOLIS,For profit - Corporation,"KANNAPOLIS HEALTHCARE, LLC",,1.0,1.0,4.0,,,2.97262,N,68.667,8.0,1.0,0.0,1.0,,1.0,1.0,,,,
345258,Kannapolis Health and Rehabilitation,NC,FC ENCORE KANNAPOLIS LLC,FC ENCORE KANNAPOLIS LLC,2021,2,TRANSITIONAL HEALTH SERVICES OF KANNAPOLIS,NC,107,60,74.86,33.33,30.56,,,,,0.1469,0.167,4,365,74.34904576100229,11299.74,75924.08,0.4280765363043574,2.868354619121891,TRANSITIONAL HEALTH SERVICES OF KANNAPOLIS,For profit - Corporation,"KANNAPOLIS HEALTHCARE, LLC",,2.0,2.0,3.0,2.0,2.0,3.07294,N,58.000,8.0,,,,,,,,,,
