ccn_str,facility_name_reit_file,state,owner_cluster,year,event_time,ltcfocus_facility_name,ltcfocus_state,ltcfocus_total_beds,ltcfocus_residents,ltcfocus_avg_dailycensus,ltcfocus_medicaid_share,ltcfocus_medicare_share,ltcfocus_rn_hprd,ltcfocus_lpn_hprd,ltcfocus_cna_hprd,ltcfocus_directcare_hprd,ltcfocus_source_file
035165,MANORCARE HEALTH SERVICES,AZ,Healthpeak / HCR ManorCare,2009,-2,MANORCARE HEALTH SERVICES,AZ,118,,,69.66,12.36,0.552247191011236,1.1286516853932584,2.2275280898876404,3.9084269662921343,facil2009new.xls
035165,MANORCARE HEALTH SERVICES,AZ,Healthpeak / HCR ManorCare,2010,-1,MANORCARE HEALTH SERVICES,AZ,118,,,69.89,12.9,0.5639784946236559,1.3043010752688171,2.3209677419354837,4.189247311827956,facil2010new.xls
035165,MANORCARE HEALTH SERVICES,AZ,Healthpeak / HCR ManorCare,2011,0,MANORCARE HEALTH SERVICES,AZ,118,,94.59,60.58,11.54,0.287,1.265,2.08,3.632,facility_2011.xls
035165,MANORCARE HEALTH SERVICES,AZ,Healthpeak / HCR ManorCare,2012,1,MANORCARE HEALTH SERVICES,AZ,118,,89.01,60.24,13.25,0.62,1.039,2.064,3.723,facility_2012.xls
035165,MANORCARE HEALTH SERVICES,AZ,Healthpeak / HCR ManorCare,2013,2,MANORCARE HEALTH SERVICES,AZ,118,,84.79,70.37,9.88,0.635,1.356,2.63,4.621,facility_2013.xls
065241,MANORCARE HEALTH SERVICES - DENVER,CO,Healthpeak / HCR ManorCare,2009,-2,MANORCARE HEALTH SERVICES - DENVER,CO,160,,,57.89,12.03,0.4650375939849624,0.9902255639097745,2.131203007518797,3.5864661654135337,facil2009new.xls
065241,MANORCARE HEALTH SERVICES - DENVER,CO,Healthpeak / HCR ManorCare,2010,-1,MANORCARE HEALTH SERVICES - DENVER,CO,160,,,47.83,17.39,0.7670289855072464,0.8829710144927537,2.397463768115942,4.047463768115943,facil2010new.xls
065241,MANORCARE HEALTH SERVICES - DENVER,CO,Healthpeak / HCR ManorCare,2011,0,MANORCARE HEALTH SERVICES - DENVER,CO,160,,135.33,41.04,12.69,0.788,0.778,2.377,3.943,facility_2011.xls
065241,MANORCARE HEALTH SERVICES - DENVER,CO,Healthpeak / HCR ManorCare,2012,1,MANORCARE HEALTH SERVICES - DENVER,CO,160,,134.14,49.61,8.66,1.047,0.786,2.163,3.997,facility_2012.xls
065241,MANORCARE HEALTH SERVICES - DENVER,CO,Healthpeak / HCR ManorCare,2013,2,MANORCARE HEALTH SERVICES - DENVER,CO,160,,128.53,56.69,8.66,1.074,0.788,2.296,4.157,facility_2013.xls
065267,MANORCARE HEALTH SERVICES - BOULDER,CO,Healthpeak / HCR ManorCare,2009,-2,MANORCARE HEALTH SERVICES - BOULDER,CO,150,,,51.69,9.32,0.4461864406779661,0.7258474576271186,2.3292372881355936,3.5012711864406776,facil2009new.xls
065267,MANORCARE HEALTH SERVICES - BOULDER,CO,Healthpeak / HCR ManorCare,2010,-1,MANORCARE HEALTH SERVICES - BOULDER,CO,150,,,53.51,10.53,0.6166666666666667,0.5956140350877194,2.317543859649123,3.529824561403509,facil2010new.xls
065267,MANORCARE HEALTH SERVICES - BOULDER,CO,Healthpeak / HCR ManorCare,2011,0,MANORCARE HEALTH SERVICES - BOULDER,CO,150,,119.62,51.28,8.55,0.606,1.012,2.457,4.075,facility_2011.xls
065267,MANORCARE HEALTH SERVICES - BOULDER,CO,Healthpeak / HCR ManorCare,2012,1,MANORCARE HEALTH SERVICES - BOULDER,CO,150,,113.54,50.45,6.31,0.884,0.646,2.368,3.899,facility_2012.xls
065267,MANORCARE HEALTH SERVICES - BOULDER,CO,Healthpeak / HCR ManorCare,2013,2,MANORCARE HEALTH SERVICES - BOULDER,CO,150,,113.25,54.37,10.68,1.041,0.424,2.376,3.841,facility_2013.xls
085028,MANORCARE HEALTH SERVICES - WILMINGTON,DE,Healthpeak / HCR ManorCare,2009,-2,MANORCARE HEALTH SERVICES - WILMINGTON,DE,138,,,43.18,34.09,0.6196969696969696,0.9458333333333332,1.9787878787878788,3.5443181818181815,facil2009new.xls
085028,MANORCARE HEALTH SERVICES - WILMINGTON,DE,Healthpeak / HCR ManorCare,2010,-1,MANORCARE HEALTH SERVICES - WILMINGTON,DE,138,,,42.42,31.82,0.728409090909091,0.9321969696969696,2.051136363636364,3.711742424242424,facil2010new.xls
085028,MANORCARE HEALTH SERVICES - WILMINGTON,DE,Healthpeak / HCR ManorCare,2011,0,MANORCARE HEALTH SERVICES - WILMINGTON,DE,138,,128.21,50.0,28.57,0.767,0.832,2.146,3.745,facility_2011.xls
085028,MANORCARE HEALTH SERVICES - WILMINGTON,DE,Healthpeak / HCR ManorCare,2012,1,MANORCARE HEALTH SERVICES - WILMINGTON,DE,138,,122.51,50.0,28.57,0.767,0.832,2.146,3.745,facility_2012.xls
085028,MANORCARE HEALTH SERVICES - WILMINGTON,DE,Healthpeak / HCR ManorCare,2013,2,MANORCARE HEALTH SERVICES - WILMINGTON,DE,138,,117.39,46.55,29.31,0.783,1.1,2.213,4.095,facility_2013.xls
085033,MANORCARE HEALTH  SERVICES - PIKE CREE,DE,Healthpeak / HCR ManorCare,2009,-2,MANORCARE HEALTH  SERVICES - PIKE CREE,DE,167,,,23.78,46.95,0.4530487804878048,0.951219512195122,2.261280487804878,3.665548780487805,facil2009new.xls
085033,MANORCARE HEALTH  SERVICES - PIKE CREE,DE,Healthpeak / HCR ManorCare,2010,-1,MANORCARE HEALTH  SERVICES - PIKE CREE,DE,167,,,33.13,39.26,0.5144171779141103,0.8917177914110429,2.208588957055215,3.614723926380369,facil2010new.xls
085033,MANORCARE HEALTH  SERVICES - PIKE CREEK,DE,Healthpeak / HCR ManorCare,2011,0,MANORCARE HEALTH  SERVICES - PIKE CREEK,DE,167,,156.74,33.13,39.26,0.514,0.892,2.209,3.615,facility_2011.xls
085033,MANORCARE HEALTH  SERVICES - PIKE CREEK,DE,Healthpeak / HCR ManorCare,2012,1,MANORCARE HEALTH  SERVICES - PIKE CREEK,DE,167,,156.86,35.85,41.51,0.491,0.939,2.228,3.657,facility_2012.xls
085033,MANORCARE HEALTH  SERVICES - PIKE CREEK,DE,Healthpeak / HCR ManorCare,2013,2,MANORCARE HEALTH  SERVICES - PIKE CREEK,DE,167,,155.32,31.37,41.18,0.628,0.942,2.276,3.845,facility_2013.xls
105366,HEARTLAND HLTH CARE CTR S JAX,FL,Healthpeak / HCR ManorCare,2009,-2,HEARTLAND HLTH CARE CTR S JAX,FL,117,,,40.37,28.44,0.3568807339449541,0.985321100917431,2.564678899082569,3.9068807339449543,facil2009new.xls
105366,HEARTLAND HEALTH CARE CENTER OF SOUTH,FL,Healthpeak / HCR ManorCare,2010,-1,HEARTLAND HEALTH CARE CENTER OF SOUTH,FL,117,,,38.6,31.58,0.5776315789473684,0.6425438596491229,2.8973684210526316,4.117543859649123,facil2010new.xls
105366,HEARTLAND HEALTH CARE CENTER OF SOUTH JACKSONVILLE,FL,Healthpeak / HCR ManorCare,2011,0,HEARTLAND HEALTH CARE CENTER OF SOUTH JACKSONVILLE,FL,117,,107.71,46.36,35.45,0.584,0.799,2.811,4.194,facility_2011.xls
105366,HEARTLAND HEALTH CARE CENTER OF SOUTH JACKSONVILLE,FL,Healthpeak / HCR ManorCare,2012,1,HEARTLAND HEALTH CARE CENTER OF SOUTH JACKSONVILLE,FL,117,,109.46,42.34,26.13,0.611,0.686,2.425,3.722,facility_2012.xls
105366,HEARTLAND HEALTH CARE CENTER OF SOUTH JACKSONVILLE,FL,Healthpeak / HCR ManorCare,2013,2,HEARTLAND HEALTH CARE CENTER OF SOUTH JACKSONVILLE,FL,117,,108.94,34.23,28.83,0.549,0.958,2.692,4.199,facility_2013.xls
105389,HEARTLAND HEALTH CARE CENTER - NORTH S,FL,Healthpeak / HCR ManorCare,2009,-2,HEARTLAND HEALTH CARE CENTER - NORTH S,FL,87,,,68.0,18.67,0.4313333333333333,0.6046666666666667,2.7933333333333334,3.829333333333333,facil2009new.xls
105389,HEARTLAND HEALTH CARE CENTER - NORTH S,FL,Healthpeak / HCR ManorCare,2010,-1,HEARTLAND HEALTH CARE CENTER - NORTH S,FL,87,,,55.41,10.81,0.4614864864864865,0.6614864864864864,2.788513513513513,3.9114864864864862,facil2010new.xls
105389,HEARTLAND HEALTH CARE CENTER - NORTH SARASOTA,FL,Healthpeak / HCR ManorCare,2011,0,HEARTLAND HEALTH CARE CENTER - NORTH SARASOTA,FL,87,,74.93,54.88,21.95,0.473,0.826,2.512,3.81,facility_2011.xls
105389,HEARTLAND HEALTH CARE CENTER - NORTH SARASOTA,FL,Healthpeak / HCR ManorCare,2012,1,HEARTLAND HEALTH CARE CENTER - NORTH SARASOTA,FL,87,,73.93,60.87,14.49,0.462,1.051,2.975,4.488,facility_2012.xls
105389,HEARTLAND HEALTH CARE CENTER - NORTH SARASOTA,FL,Healthpeak / HCR ManorCare,2013,2,HEARTLAND HEALTH CARE CENTER - NORTH SARASOTA,FL,87,,78.16,50.62,20.99,0.407,0.854,2.644,3.906,facility_2013.xls
105454,MANORCARE HEALTH SERVICES SARASOTA,FL,Healthpeak / HCR ManorCare,2009,-2,MANORCARE HEALTH SERVICES SARASOTA,FL,178,,,53.01,20.48,0.508433734939759,0.7713855421686747,2.971987951807229,4.251807228915663,facil2009new.xls
105454,MANORCARE HEALTH SERVICES SARASOTA,FL,Healthpeak / HCR ManorCare,2010,-1,MANORCARE HEALTH SERVICES SARASOTA,FL,178,,,43.71,26.35,0.5,0.7110778443113772,2.8766467065868264,4.087724550898203,facil2010new.xls
105454,MANORCARE HEALTH SERVICES SARASOTA,FL,Healthpeak / HCR ManorCare,2011,0,MANORCARE HEALTH SERVICES SARASOTA,FL,178,,162.06,50.94,16.35,0.595,0.83,2.834,4.259,facility_2011.xls
105454,MANORCARE HEALTH SERVICES SARASOTA,FL,Healthpeak / HCR ManorCare,2012,1,MANORCARE HEALTH SERVICES SARASOTA,FL,178,,160.04,56.8,21.89,0.442,0.756,2.588,3.786,facility_2012.xls
