omega_landlord,facility_name_source,city_state_source,ccn_str,match_method,city_source,state,provider_name_latest,provider_state,year,event_time,ltcfocus_facility_name,ltcfocus_state,ltcfocus_total_beds,ltcfocus_residents,ltcfocus_avg_dailycensus,ltcfocus_medicaid_share,ltcfocus_medicare_share,ltcfocus_rn_hprd,ltcfocus_lpn_hprd,ltcfocus_cna_hprd,ltcfocus_directcare_hprd,pbj_source_files,pbj_days_observed,pbj_mean_census,pbj_total_rn_hours,pbj_total_nurse_hours,pbj_mean_rn_hprd,pbj_mean_nurse_hprd,cms_provider_name,cms_ownership_type,cms_legal_business_name,cms_chain_name,cms_overall_rating,cms_health_rating,cms_qm_rating,cms_staffing_rating,cms_rn_staffing_rating,cms_reported_total_nurse_hprd,cms_chow_last_12mos,cms_total_weighted_health_survey_score,cms_substantiated_complaints,deficiency_citations,deficiency_standard_citations,deficiency_complaint_citations,deficiency_infection_control_citations,deficiency_actual_harm_or_ij_citations,deficiency_unique_survey_dates,survey_summary_rows,survey_summary_total_health_deficiencies,survey_summary_total_fire_safety_deficiencies,survey_summary_infection_control_deficiencies
"FC Encore McComb, LLC",Courtyard Rehabilitation and Healthcare,"McComb, Mississippi",255145,exact_provider_name,McComb,MS,COURTYARD HEALTH AND REHABILITATION,MS,2017,-2,COURTYARD REHABILITATION AND HEALTHCARE,MS,145,118,126.81,76.12,11.19,0.328,0.969,1.95,3.248,4,365,126.38150846737804,13823.48,158186.78,0.3003781538813256,3.431561204897897,COURTYARD REHABILITATION AND HEALTHCARE,For profit - Corporation,MCCOMB HEALTHCARE LLC,,1.0,1.0,3.0,2.0,2.0,3.33283,N,74.500,3.0,7.0,7.0,0.0,,0.0,1.0,1.0,7.0,0.0,
"FC Encore McComb, LLC",Courtyard Rehabilitation and Healthcare,"McComb, Mississippi",255145,exact_provider_name,McComb,MS,COURTYARD HEALTH AND REHABILITATION,MS,2018,-1,COURTYARD REHABILITATION AND HEALTHCARE,MS,145,112,127.42,74.81,5.34,,,0.0,,4,365,128.86648086213305,18908.33,168188.43,0.4021559186750754,3.576268180369915,COURTYARD REHABILITATION AND HEALTHCARE,For profit - Corporation,MCCOMB HEALTHCARE LLC,,,,,,3.0,3.57669,N,45.600,1.0,12.0,8.0,4.0,,0.0,2.0,1.0,8.0,1.0,
"FC Encore McComb, LLC",Courtyard Rehabilitation and Healthcare,"McComb, Mississippi",255145,exact_provider_name,McComb,MS,COURTYARD HEALTH AND REHABILITATION,MS,2019,0,COURTYARD REHABILITATION AND HEALTHCARE,MS,145,120,127.59,72.22,8.73,,,,,4,365,127.75744478951,18731.82,161463.72,0.40160286668745,3.463747646127179,COURTYARD REHABILITATION AND HEALTHCARE,For profit - Corporation,MCCOMB HEALTHCARE LLC,,,,,,2.0,3.42908,N,50.667,3.0,1.0,0.0,1.0,,0.0,1.0,,,,
"FC Encore McComb, LLC",Courtyard Rehabilitation and Healthcare,"McComb, Mississippi",255145,exact_provider_name,McComb,MS,COURTYARD HEALTH AND REHABILITATION,MS,2020,1,COURTYARD REHABILITATION AND HEALTHCARE,MS,145,113,89.67,72.22,8.73,,,,,4,366,116.3968287147635,12625.75,146288.14,0.2964510654926267,3.4402390263618132,COURTYARD REHABILITATION AND HEALTHCARE,For profit - Limited Liability company,MCCOMB HEALTHCARE LLC,,1.0,1.0,1.0,2.0,2.0,3.37132,N,47.333,4.0,,,,,,,,,,
"FC Encore McComb, LLC",Courtyard Rehabilitation and Healthcare,"McComb, Mississippi",255145,exact_provider_name,McComb,MS,COURTYARD HEALTH AND REHABILITATION,MS,2021,2,COURTYARD REHABILITATION AND HEALTHCARE,MS,145,101,109.73,72.22,8.73,,,,,4,365,109.10807387057388,11284.43,129709.87,0.2831055562516875,3.2582084106483222,COURTYARD REHABILITATION AND HEALTHCARE,For profit - Limited Liability company,MCCOMB HEALTHCARE LLC,,1.0,2.0,2.0,1.0,1.0,3.16389,N,44.667,9.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,
"FC Encore Natchez, LLC",Glenburney Health Care and Rehabilitation Center,"Natchez, Mississippi",255173,exact_provider_name,Natchez,MS,GRAND TRACE HEALTH AND REHABILITATION,MS,2017,-2,GLENBURNEY HEALTH CARE AND REHABILITATION CENTER,MS,96,72,80.44,75.32,16.88,0.446,0.705,2.787,3.938,4,365,79.8940170940171,14744.54,101487.95,0.5052559441289257,3.4830726701807184,GLENBURNEY HEALTH CARE AND REHABILITATION CENTER,For profit - Partnership,GLENBURNEY HEALTHCARE LLC,,2.0,1.0,4.0,4.0,4.0,4.25194,N,62.000,1.0,15.0,15.0,0.0,,0.0,1.0,1.0,15.0,0.0,
"FC Encore Natchez, LLC",Glenburney Health Care and Rehabilitation Center,"Natchez, Mississippi",255173,exact_provider_name,Natchez,MS,GRAND TRACE HEALTH AND REHABILITATION,MS,2018,-1,GLENBURNEY HEALTH CARE AND REHABILITATION CENTER,MS,,72,76.62,,,,,,,4,365,76.14165339491427,14822.53,95731.63,0.534219899864765,3.446344149906068,GLENBURNEY HEALTH CARE AND REHABILITATION CENTER,For profit - Partnership,GLENBURNEY HEALTHCARE LLC,,,,,,3.0,3.46313,N,68.000,3.0,2.0,0.0,2.0,,0.0,1.0,,,,
"FC Encore Natchez, LLC",Glenburney Health Care and Rehabilitation Center,"Natchez, Mississippi",255173,exact_provider_name,Natchez,MS,GRAND TRACE HEALTH AND REHABILITATION,MS,2019,0,GLENBURNEY HEALTH CARE AND REHABILITATION CENTER,MS,96,71,79.59,48.19,20.48,,,,,4,365,79.02748049052397,16335.71,101305.72,0.5671265111428603,3.516187064474361,GLENBURNEY HEALTH CARE AND REHABILITATION CENTER,For profit - Corporation,GLENBURNEY HEALTHCARE LLC,,,,,,3.0,3.64008,N,187.333,2.0,16.0,16.0,0.0,,4.0,1.0,1.0,16.0,1.0,
"FC Encore Natchez, LLC",Glenburney Health Care and Rehabilitation Center,"Natchez, Mississippi",255173,exact_provider_name,Natchez,MS,GRAND TRACE HEALTH AND REHABILITATION,MS,2020,1,GLENBURNEY HEALTH CARE AND REHABILITATION CENTER,MS,96,66,52.34,48.19,20.48,,,,,4,366,67.47599139990444,14887.69,79871.23,0.6031273706584395,3.234548593266781,GLENBURNEY HEALTH CARE AND REHABILITATION CENTER,For profit - Corporation,GLENBURNEY HEALTHCARE LLC,,1.0,1.0,3.0,3.0,3.0,3.3656,N,191.333,5.0,1.0,0.0,1.0,,0.0,1.0,,,,
"FC Encore Natchez, LLC",Glenburney Health Care and Rehabilitation Center,"Natchez, Mississippi",255173,exact_provider_name,Natchez,MS,GRAND TRACE HEALTH AND REHABILITATION,MS,2021,2,GLENBURNEY HEALTH CARE AND REHABILITATION CENTER,MS,96,57,57.6,77.78,20.37,,,,,4,365,57.41797393427828,10288.5,68159.8,0.4872091667632267,3.259984207996964,GLENBURNEY HEALTH CARE AND REHABILITATION CENTER,For profit - Corporation,GLENBURNEY HEALTHCARE LLC,,1.0,1.0,3.0,2.0,2.0,3.2915,N,189.333,4.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,
"FC Encore Union, LLC",Hilltop Manor Health and Rehabilitation Center,"Union, Mississippi",255260,exact_provider_name,Union,MS,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,2017,-2,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,60,53,55.43,82.46,12.28,0.334,0.836,1.441,2.611,4,365,55.10022628337846,13569.31,63334.54,0.6746901729982122,3.1500565584084836,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,For profit - Corporation,"HILLTOP MISSISSIPPI HEALTHCARE, LLC",,2.0,3.0,1.0,3.0,3.0,3.37982,N,18.000,0.0,2.0,2.0,0.0,,0.0,1.0,1.0,2.0,0.0,
"FC Encore Union, LLC",Hilltop Manor Health and Rehabilitation Center,"Union, Mississippi",255260,exact_provider_name,Union,MS,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,2018,-1,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,,51,56.02,,,,,,,4,365,55.833231804427456,15565.15,61683.43,0.7650890239875756,3.027448266287234,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,For profit - Corporation,"HILLTOP MISSISSIPPI HEALTHCARE, LLC",,,,,,4.0,2.99781,N,17.600,0.0,,,,,,,,,,
