ccn_str,facility_name_reit_file,state,owner_cluster,year,event_time,ltcfocus_facility_name,ltcfocus_state,ltcfocus_total_beds,ltcfocus_residents,ltcfocus_avg_dailycensus,ltcfocus_medicaid_share,ltcfocus_medicare_share,ltcfocus_rn_hprd,ltcfocus_lpn_hprd,ltcfocus_cna_hprd,ltcfocus_directcare_hprd,ltcfocus_obs_rehosprate,ltcfocus_adj_rehosprate,ltcfocus_source_file,cms_provider_name,cms_ownership_type,cms_legal_business_name,cms_certified_beds,cms_average_residents,cms_chow_last_12mos,cms_overall_rating,cms_survey_rating,cms_quality_rating,cms_staffing_rating,cms_rn_staffing_rating,cms_provider_aide_hprd,cms_provider_lpn_hprd,cms_provider_rn_hprd,cms_provider_total_licensed_hprd,cms_provider_total_nurse_hprd,cms_provider_pt_hprd,cms_staffing_file_quarters,cms_staffing_file_aide_hprd,cms_staffing_file_lpn_hprd,cms_staffing_file_rn_hprd,cms_staffing_file_total_licensed_hprd,cms_staffing_file_total_nurse_hprd,cms_staffing_file_pt_hprd,cms_staffing_file_expected_aide,cms_staffing_file_expected_lpn,cms_staffing_file_expected_rn,cms_staffing_file_expected_total,cms_staffing_file_adjusted_aide,cms_staffing_file_adjusted_lpn,cms_staffing_file_adjusted_rn,cms_staffing_file_adjusted_total,cms_deficiency_citations,cms_deficiency_distinct_tags,cms_deficiency_complaint_citations,cms_deficiency_standard_citations,cms_deficiency_unique_survey_dates,cms_survey_summary_health_deficiencies,cms_survey_summary_fire_deficiencies,cms_survey_summary_health_severity_score,cms_survey_summary_health_ij_count,cms_survey_summary_health_severe_count
155495,PADDOCK SPRINGS,IN,American Healthcare REIT / Trilogy,2013,-2,LAKELAND REHABILITATION AND HEALTHCARE CENTER,IN,60,,50.61,68.0,10.0,0.309,0.743,1.449,2.501,0.2644,0.276,facility_2013.xls,LAKELAND REHABILITATION AND HEALTHCARE CENTER,FOR PROFIT - CORPORATION,Legal Business Name Not Available,60,51,N,3,3,4,3,3,1.94,0.91,0.68,1.58,3.53,0.02,4.0,1.6925000000000001,0.9850000000000001,0.62,1.6025,3.2975000000000003,0.04,2.501,0.606,1.03175,4.1425,1.6625,1.355,0.445,3.2024999999999997,,,,,,,,,,
155495,PADDOCK SPRINGS,IN,American Healthcare REIT / Trilogy,2014,-1,LAKELAND REHABILITATION AND HEALTHCARE CENTER,IN,60,,51.36,68.0,10.0,0.309,0.743,1.449,2.501,0.2105,0.2106,facility_2014.xls,LAKELAND REHABILITATION AND HEALTHCARE CENTER,For profit - Corporation,TRILOGY HEALTHCARE CENTERS LLC,60,50,N,2,1,5,2,3,1.66,0.743,0.734,1.477,3.137,0.023,4.0,1.6468875,0.810315,0.6993199999999999,1.5096375000000002,3.1565225,0.032345,2.5026900000000003,0.6554625,1.09911,4.2572575,1.61498,1.040525,0.47546,2.992125,17.0,14.0,5.0,12.0,4.0,,,,,
155495,PADDOCK SPRINGS,IN,American Healthcare REIT / Trilogy,2015,0,LAKELAND REHABILITATION AND HEALTHCARE CENTER,IN,60,,51.74,70.0,16.0,0.517,1.123,1.466,3.106,0.2754,0.2643,facility_2015.xls,LAKELAND REHABILITATION AND HEALTHCARE CENTER,Government - County,HANCOCK REGIONAL HOSPITAL,60,50,N,1,1,1,3,4,1.466,1.123,1.047,2.17,3.636,0.059,4.0,1.563,0.933,0.8905,1.8235000000000001,3.3865,0.040999999999999995,2.524875,0.718255,1.13306,4.3761849999999995,1.518955,1.074065,0.590255,3.120045,22.0,22.0,0.0,22.0,2.0,,,,,
155495,PADDOCK SPRINGS,IN,American Healthcare REIT / Trilogy,2016,1,LAKELAND REHABILITATION AND HEALTHCARE CENTER,IN,60,,46.55,67.31,15.38,0.497,0.879,1.947,3.323,0.2424,,facility_2016.xls,LAKELAND REHABILITATION AND HEALTHCARE CENTER,Government - County,HANCOCK REGIONAL HOSPITAL,60,50,N,1,1,2,3,4,1.466,1.123,1.047,2.17,3.636,0.059,4.0,1.70656,1.000925,0.94177,1.9426899999999998,3.649255,0.044405,2.512525,0.6507149999999999,1.000845,4.164085,1.6678350000000002,1.27748,0.702475,3.541195,14.0,14.0,0.0,14.0,1.0,,,,,
155495,PADDOCK SPRINGS,IN,American Healthcare REIT / Trilogy,2017,2,LAKELAND REHABILITATION AND HEALTHCARE CENTER,IN,60,46,46.26,82.61,10.87,0.286,0.993,1.377,2.657,0.2759,0.2764,facility_2017.xls,LAKELAND REHABILITATION AND HEALTHCARE CENTER,Government - County,HANCOCK REGIONAL HOSPITAL,60,46,N,1,2,3,1,2,1.44891,0.99348,0.56848,1.56196,3.01087,0.05543,,,,,,,,,,,,,,,,29.0,22.0,0.0,29.0,3.0,2,,,0,0
155680,HOMEWOOD HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2013,-2,HOMEWOOD HEALTH CAMPUS,IN,68,,53.98,37.29,32.2,0.441,1.22,2.586,4.247,0.1319,0.141,facility_2013.xls,HOMEWOOD HEALTH CAMPUS,FOR PROFIT - CORPORATION,Legal Business Name Not Available,68,53,N,2,2,4,,,,,,,,1000.0,4.0,2.68,1.22,0.73,1.95,4.63,750.03,2.4525,0.65325,1.1335,4.2375,2.59,1.55,0.53,4.42,15.0,15.0,2.0,13.0,3.0,,,,,
155680,HOMEWOOD HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2014,-1,HOMEWOOD HEALTH CAMPUS,IN,68,,54.23,44.44,35.19,1.014,1.208,2.618,4.84,0.0796,0.1011,facility_2014.xls,HOMEWOOD HEALTH CAMPUS,For profit - Corporation,"TRILOGY HEALTHCARE OF LEBANON, LLC",68,59,N,3,2,4,4,3,2.67881,1.22034,0.73136,1.95169,4.63051,0.1161,4.0,2.67881,1.22034,0.73136,1.95169,4.63051,0.1161,2.5357925000000003,0.6645975,1.1125275000000001,4.312915,2.5927425,1.52549,0.49119999999999997,4.328602500000001,18.0,18.0,0.0,18.0,2.0,,,,,
155680,HOMEWOOD HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2015,0,HOMEWOOD HEALTH CAMPUS,IN,68,,52.87,52.94,21.57,0.883,1.829,2.761,5.474,0.0893,0.1184,facility_2015.xls,HOMEWOOD HEALTH CAMPUS,For profit - Corporation,WITHAM MEMORIAL HOSPITAL,68,54,Y,4,2,5,5,5,2.96944,1.20833,1.5537,2.76204,5.73147,0.11944,4.0,2.96944,1.20833,1.5537,2.76204,5.73147,0.11944,2.4059274999999998,0.64036,1.1660225,4.2123099999999996,3.0292325,1.5675925,0.9962900000000001,5.4871,13.0,13.0,7.0,12.0,2.0,,,,,
155680,HOMEWOOD HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2016,1,HOMEWOOD HEALTH CAMPUS,IN,68,,51.02,54.0,24.0,0.652,0.817,1.597,3.066,0.1648,,facility_2016.xls,HOMEWOOD HEALTH CAMPUS,For profit - Corporation,WITHAM MEMORIAL HOSPITAL,68,54,Y,4,2,5,5,5,2.96944,1.20833,1.5537,2.76204,5.73147,0.11944,4.0,2.8467700000000002,1.67414,1.51416,3.1883025,6.035069999999999,0.1247125,2.388985,0.6143925,1.155735,4.159105,2.9240025000000003,2.267005,0.9789950000000001,5.849057500000001,2.0,2.0,2.0,0.0,2.0,,,,,
155680,HOMEWOOD HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2017,2,HOMEWOOD HEALTH CAMPUS,IN,68,56,56.23,54.0,24.0,0.652,0.817,1.597,3.066,0.1677,,facility_2017.xls,HOMEWOOD HEALTH CAMPUS,For profit - Partnership,WITHAM MEMORIAL HOSPITAL,68,50,N,3,2,5,3,4,1.833,0.817,0.963,1.78,3.613,0.171,,,,,,,,,,,,,,,,30.0,22.0,12.0,24.0,6.0,8,,,0,1
