ccn,year,rnhrppd,lpnhrppd,cnahrppd,dchrppd,totbeds,occpct,facility_name_ltcfocus,state,county
075240,2009,0.7116071428571429,0.7441964285714285,2.1147321428571426,3.570535714285714,120.0,93.33,GLENDALE CENTER,CT,9.0
075240,2010,0.6954545454545454,0.7345454545454545,2.2554545454545454,3.685454545454545,120.0,91.67,GLENDALE CENTER,CT,9.0
075240,2011,0.807,0.76,2.363,3.929,120.0,86.67,GLENDALE CENTER,CT,9.0
075240,2012,0.702,0.648,2.181,3.531,120.0,90.83,GLENDALE CENTER,CT,9.0
075240,2013,0.668,0.657,2.118,3.443,120.0,95.83,GLENDALE CENTER,CT,9.0
085013,2009,0.3146464646464647,1.2343434343434343,2.178282828282828,3.727272727272727,106.0,93.4,HILLSIDE CENTER,DE,3.0
085013,2010,0.5750000000000001,1.028921568627451,1.6176470588235294,3.2215686274509805,106.0,96.23,HILLSIDE CENTER,DE,3.0
085013,2011,0.575,1.029,1.618,3.222,106.0,96.23,HILLSIDE CENTER,DE,3.0
085013,2012,0.813,0.754,2.217,3.784,106.0,93.4,HILLSIDE CENTER,DE,3.0
085013,2013,0.527,1.133,2.149,3.809,106.0,88.68,HILLSIDE CENTER,DE,3.0
085027,2009,0.7631818181818181,0.5395454545454547,2.1863636363636365,3.4890909090909092,120.0,91.67,SILVER LAKE CENTER,DE,1.0
085027,2010,0.7631818181818181,0.5395454545454547,2.1863636363636365,3.4890909090909092,120.0,91.67,SILVER LAKE CENTER,DE,1.0
085027,2011,0.754,0.607,2.33,3.691,120.0,97.5,SILVER LAKE CENTER,DE,1.0
085027,2012,0.781,0.624,2.087,3.491,120.0,96.67,SILVER LAKE CENTER,DE,1.0
085027,2013,0.792,0.667,2.234,3.693,120.0,92.5,SILVER LAKE CENTER,DE,1.0
085042,2009,0.4147727272727273,1.1897727272727272,2.245454545454545,3.85,104.0,84.62,ST. FRANCIS CARE/BRACKENVILLE,DE,3.0
085042,2010,0.4941860465116279,0.9470930232558138,2.35639534883721,3.7976744186046503,104.0,82.69,ST. FRANCIS CARE/BRACKENVILLE,DE,3.0
085042,2011,0.924,0.785,2.407,4.116,104.0,75.96,ST. FRANCIS CARE/BRACKENVILLE,DE,3.0
085042,2012,1.232,0.785,2.699,4.717,104.0,74.04,ST. FRANCIS CARE/BRACKENVILLE,DE,3.0
085042,2013,1.194,0.599,2.572,4.366,104.0,83.65,ST. FRANCIS CARE/BRACKENVILLE,DE,3.0
215096,2009,1.0123762376237624,1.0257425742574258,1.8212871287128711,3.85940594059406,118.0,85.59,MULTI-MEDICAL CENTER,MD,5.0
215096,2010,1.1572115384615385,0.9086538461538464,1.26,3.326,118.0,88.14,MULTI-MEDICAL CENTER,MD,5.0
215096,2011,1.157,0.909,,,118.0,88.14,MULTI-MEDICAL CENTER,MD,5.0
215096,2012,1.157,0.909,2.875,4.941,118.0,88.14,MULTI-MEDICAL CENTER,MD,5.0
215096,2013,1.193,0.963,2.065,4.221,118.0,88.14,MULTI-MEDICAL CENTER,MD,5.0
215143,2009,0.3478102189781021,0.7423357664233577,2.134671532846715,3.224817518248176,141.0,97.16,SEVERNA PARK CENTER,MD,3.0
215143,2010,0.3368613138686132,0.9135036496350364,2.0686131386861315,3.3189781021897815,141.0,97.16,SEVERNA PARK CENTER,MD,3.0
215143,2011,0.445,0.852,2.123,3.42,141.0,93.62,SEVERNA PARK CENTER,MD,3.0
215143,2012,0.62,0.763,2.069,3.452,132.0,100.0,SEVERNA PARK CENTER,MD,3.0
215143,2013,0.681,0.75,2.114,3.545,141.0,90.78,SEVERNA PARK CENTER,MD,3.0
315015,2009,0.8164556962025317,0.6424050632911392,2.0477848101265828,3.506645569620253,183.0,86.34,MADISON CENTER,NJ,25.0
315015,2010,0.8066666666666666,0.6060606060606061,2.090909090909091,3.503636363636364,183.0,90.16,MADISON CENTER,NJ,25.0
315015,2011,0.713,0.548,1.828,3.089,183.0,97.27,MADISON CENTER,NJ,25.0
315015,2012,0.756,0.568,1.96,3.285,183.0,96.17,MADISON CENTER,NJ,25.0
315015,2013,0.843,0.511,2.003,3.358,183.0,91.8,MADISON CENTER,NJ,25.0
315050,2009,0.0958937198067632,1.022705314009662,1.7528985507246375,2.871497584541063,227.0,91.19,BURLINGTON WOODS,NJ,5.0
315050,2010,0.2960732984293194,1.199476439790576,1.861256544502618,3.3568062827225136,227.0,84.14,BURLINGTON WOODS,NJ,5.0
315050,2011,0.286,0.962,2.481,3.729,227.0,83.7,BURLINGTON WOODS,NJ,5.0
315050,2012,0.45,0.778,1.876,3.104,227.0,81.5,BURLINGTON WOODS,NJ,5.0
315050,2013,0.487,0.704,1.959,3.15,215.0,86.98,BURLINGTON WOODS,NJ,5.0
315094,2009,0.7563725490196079,0.7362745098039215,1.9382352941176475,3.4308823529411767,114.0,89.47,MERCERVILLE CENTER,NJ,21.0
315094,2010,0.842929292929293,0.6893939393939394,1.9803030303030305,3.512626262626263,114.0,86.84,MERCERVILLE CENTER,NJ,21.0
315094,2011,0.774,0.779,1.537,3.089,114.0,91.23,MERCERVILLE CENTER,NJ,21.0
315094,2012,0.795,0.65,1.878,3.323,114.0,92.11,MERCERVILLE CENTER,NJ,21.0
315094,2013,0.731,0.685,1.894,3.31,114.0,94.74,MERCERVILLE CENTER,NJ,21.0
315207,2009,0.1993421052631579,0.8798245614035087,1.8712719298245613,2.9504385964912276,240.0,95.0,KRESSON VIEW CENTER,NJ,7.0
315207,2010,0.3579908675799087,0.8970319634703195,1.7853881278538812,3.0404109589041104,240.0,91.25,KRESSON VIEW CENTER,NJ,7.0
315207,2011,0.333,0.84,1.849,3.022,240.0,92.08,KRESSON VIEW CENTER,NJ,7.0
315207,2012,0.469,0.657,1.835,2.961,240.0,86.67,KRESSON VIEW CENTER,NJ,7.0
315207,2013,0.452,0.78,1.911,3.143,240.0,90.83,KRESSON VIEW CENTER,NJ,7.0
315216,2009,0.5983333333333333,0.6741666666666666,2.2594444444444446,3.531944444444445,190.0,94.74,WATERVIEW CENTER,NJ,13.0
315216,2010,0.6564606741573035,0.5606741573033709,2.6921348314606743,3.909269662921349,190.0,93.68,WATERVIEW CENTER,NJ,13.0
315216,2011,0.675,0.577,2.77,4.022,190.0,91.05,WATERVIEW CENTER,NJ,13.0
315216,2012,0.656,0.561,2.692,3.909,190.0,93.68,WATERVIEW CENTER,NJ,13.0
315216,2013,0.592,0.576,2.496,3.663,190.0,96.32,WATERVIEW CENTER,NJ,13.0
315219,2009,0.6462427745664739,0.5132947976878613,1.8141618497109828,2.973699421965318,190.0,91.05,VOORHEES CENTER,NJ,7.0
315219,2010,0.6736526946107785,0.5482035928143713,1.898502994011976,3.1203592814371257,190.0,87.89,VOORHEES CENTER,NJ,7.0
315219,2011,0.664,0.629,1.854,3.147,190.0,91.05,VOORHEES CENTER,NJ,7.0
315219,2012,0.631,0.637,1.802,3.069,190.0,95.79,VOORHEES CENTER,NJ,7.0
315219,2013,0.688,0.592,1.903,3.183,190.0,91.58,VOORHEES CENTER,NJ,7.0
315316,2009,0.5235294117647059,0.7747899159663866,1.7285714285714284,3.026890756302522,120.0,99.17,BRAKELEY PARK CENTER,NJ,41.0
315316,2010,0.5890350877192982,0.8771929824561403,2.06140350877193,3.5276315789473687,120.0,95.0,BRAKELEY PARK CENTER,NJ,41.0
315316,2011,0.674,0.693,1.845,3.212,120.0,93.33,BRAKELEY PARK CENTER,NJ,41.0
315316,2012,0.759,0.653,1.912,3.324,120.0,94.17,BRAKELEY PARK CENTER,NJ,41.0
315316,2013,0.763,0.587,1.78,3.13,120.0,97.5,BRAKELEY PARK CENTER,NJ,41.0
315349,2009,0.5542372881355933,0.5838983050847458,2.267796610169491,3.4059322033898303,62.0,95.16,INGLEMOOR CENTER,NJ,3.0
315349,2010,0.7830508474576272,0.4550847457627119,2.3788135593220336,3.616949152542373,62.0,95.16,INGLEMOOR CENTER,NJ,3.0
315349,2011,0.736,0.645,2.495,3.875,62.0,90.32,INGLEMOOR CENTER,NJ,3.0
315349,2012,1.291,0.342,2.515,4.147,62.0,87.1,INGLEMOOR CENTER,NJ,3.0
315349,2013,1.096,0.255,2.164,3.515,62.0,95.16,INGLEMOOR CENTER,NJ,3.0
315362,2009,0.589873417721519,0.7911392405063291,2.070886075949367,3.451898734177215,96.0,82.29,PARK PLACE CENTER,NJ,23.0
315362,2010,0.856172839506173,0.595679012345679,2.2506172839506173,3.7024691358024695,96.0,84.38,PARK PLACE CENTER,NJ,23.0
315362,2011,0.928,0.603,2.2,3.731,96.0,78.13,PARK PLACE CENTER,NJ,23.0
315362,2012,0.86,0.519,2.119,3.498,96.0,86.46,PARK PLACE CENTER,NJ,23.0
315362,2013,0.995,0.447,2.131,3.574,96.0,79.17,PARK PLACE CENTER,NJ,23.0
395791,2009,0.5194690265486726,0.6995575221238938,1.8066371681415931,3.02566371681416,120.0,94.17,HARSTON HALL,PA,91.0
395791,2010,0.7390350877192982,0.5197368421052632,1.724122807017544,2.982894736842105,120.0,95.0,HARSTON HALL,PA,91.0
395791,2011,0.866,0.48,1.902,3.248,120.0,93.33,HARSTON HALL,PA,91.0
395791,2012,1.047,0.477,1.836,3.359,120.0,90.83,HARSTON HALL,PA,91.0
395791,2013,1.049,0.234,1.636,2.919,120.0,98.33,HARSTON HALL,PA,91.0
515163,2009,0.1614754098360655,0.6557377049180327,2.168032786885246,2.9852459016393444,66.0,92.42,DAWN VIEW CENTER,WV,57.0
515163,2010,0.1614754098360655,0.6557377049180327,2.168032786885246,2.9852459016393444,66.0,92.42,DAWN VIEW CENTER,WV,57.0
515163,2011,0.318,0.522,2.043,2.883,66.0,90.91,DAWN VIEW CENTER,WV,57.0
515163,2012,0.564,0.446,2.342,3.353,66.0,89.39,DAWN VIEW CENTER,WV,57.0
515163,2013,0.564,0.446,2.342,3.353,66.0,89.39,DAWN VIEW CENTER,WV,57.0
