ccn,state,city,provider_name_2026,owner_org_current,welltower_owner_entity,earliest_welltower_assoc_date_2021_rows,ownership_role_rows,reit_owner_flag_values,provider_name_2019,provider_name_2020,provider_name_2021,provider_name_2022,provider_name_2023,provider_name_2024,provider_name_2025,provider_name_2026_hist,reverse_engineering_basis,public_transaction_context,ltcfocus_years_2009_2013,ltcfocus_staffing_years_2009_2013
075240,CT,NAUGATUCK,COMPLETE CARE AT GLENDALE,COMPLETE CARE AT GLENDALE LLC,WELLTOWER INC,09/01/2021,5% OR GREATER SECURITY INTEREST|ADP OF THE SNF,Y,GLENDALE CENTER,GLENDALE CENTER,GLENDALE CENTER,GLENDALE CENTER,GLENDALE CENTER,COMPLETE CARE AT GLENDALE,COMPLETE CARE AT GLENDALE,,Current CMS ownership file shows a Welltower owner entity with a 2021 association date on a Complete Care facility row.,"Welltower disclosed in March 2021 that 35 traditional Genesis SNFs would be sold to a JV with Aurora Health Network and Peace Capital, and later described seven former Genesis facilities transitioned to Complete Care.",2009|2010|2011|2012|2013,5
085027,DE,DOVER,COMPLETE CARE AT SILVER LAKE LLC,COMPLETE CARE AT SILVER LAKE LLC,WELLTOWER INC,07/30/2021,5% OR GREATER SECURITY INTEREST|ADP OF THE SNF,Y,SILVER LAKE CENTER,SILVER LAKE CENTER,COMPLETE CARE AT SILVER LAKE LLC,COMPLETE CARE AT SILVER LAKE LLC,COMPLETE CARE AT SILVER LAKE LLC,COMPLETE CARE AT SILVER LAKE LLC,COMPLETE CARE AT SILVER LAKE LLC,,Current CMS ownership file shows a Welltower owner entity with a 2021 association date on a Complete Care facility row.,"Welltower disclosed in March 2021 that 35 traditional Genesis SNFs would be sold to a JV with Aurora Health Network and Peace Capital, and later described seven former Genesis facilities transitioned to Complete Care.",2009|2010|2011|2012|2013,5
085042,DE,HOCKESSIN,COMPLETE CARE AT BRACKENVILLE LLC,COMPLETE CARE AT BRACKENVILLE LLC,WELLTOWER INC,06/01/2021,5% OR GREATER SECURITY INTEREST|ADP OF THE SNF,Y,BRACKENVILLE CENTER,BRACKENVILLE CENTER,COMPLETE CARE AT BRACKENVILLE LLC,COMPLETE CARE AT BRACKENVILLE LLC,COMPLETE CARE AT BRACKENVILLE LLC,COMPLETE CARE AT BRACKENVILLE LLC,COMPLETE CARE AT BRACKENVILLE LLC,,Current CMS ownership file shows a Welltower owner entity with a 2021 association date on a Complete Care facility row.,"Welltower disclosed in March 2021 that 35 traditional Genesis SNFs would be sold to a JV with Aurora Health Network and Peace Capital, and later described seven former Genesis facilities transitioned to Complete Care.",2009|2010|2011|2012|2013,5
085013,DE,WILMINGTON,COMPLETE CARE AT HILLSIDE LLC,COMPLETE CARE AT HILLSIDE LLC,WELLTOWER INC,06/01/2021,5% OR GREATER SECURITY INTEREST|ADP OF THE SNF,Y,HILLSIDE CENTER,HILLSIDE CENTER,COMPLETE CARE AT HILLSIDE LLC,COMPLETE CARE AT HILLSIDE LLC,COMPLETE CARE AT HILLSIDE LLC,COMPLETE CARE AT HILLSIDE LLC,COMPLETE CARE AT HILLSIDE LLC,,Current CMS ownership file shows a Welltower owner entity with a 2021 association date on a Complete Care facility row.,"Welltower disclosed in March 2021 that 35 traditional Genesis SNFs would be sold to a JV with Aurora Health Network and Peace Capital, and later described seven former Genesis facilities transitioned to Complete Care.",2009|2010|2011|2012|2013,5
215143,MD,SEVERNA PARK,COMPLETE CARE AT SEVERNA PARK LLC,COMPLETE CARE AT SEVERNA PARK LLC,WELLTOWER OP LLC,05/01/2021,5% OR GREATER SECURITY INTEREST|ADP OF THE SNF,Y,SEVERNA PARK CENTER,SEVERNA PARK CENTER,COMPLETE CARE AT SEVERNA PARK LLC,COMPLETE CARE AT SEVERNA PARK LLC,COMPLETE CARE AT SEVERNA PARK LLC,COMPLETE CARE AT SEVERNA PARK LLC,COMPLETE CARE AT SEVERNA PARK LLC,,Current CMS ownership file shows a Welltower owner entity with a 2021 association date on a Complete Care facility row.,"Welltower disclosed in March 2021 that 35 traditional Genesis SNFs would be sold to a JV with Aurora Health Network and Peace Capital, and later described seven former Genesis facilities transitioned to Complete Care.",2009|2010|2011|2012|2013,5
215096,MD,TOWSON,COMPLETE CARE AT MULTI MEDICAL CENTER LLC,COMPLETE CARE AT MULTI MEDICAL CENTER LLC,WELLTOWER OP LLC,05/01/2021,ADP OF THE SNF,Y,MULTI-MEDICAL CENTER,MULTI-MEDICAL CENTER,COMPLETE CARE AT MULTI MEDICAL CENTER LLC,COMPLETE CARE AT MULTI MEDICAL CENTER LLC,COMPLETE CARE AT MULTI MEDICAL CENTER LLC,COMPLETE CARE AT MULTI MEDICAL CENTER LLC,COMPLETE CARE AT MULTI MEDICAL CENTER LLC,,Current CMS ownership file shows a Welltower owner entity with a 2021 association date on a Complete Care facility row.,"Welltower disclosed in March 2021 that 35 traditional Genesis SNFs would be sold to a JV with Aurora Health Network and Peace Capital, and later described seven former Genesis facilities transitioned to Complete Care.",2009|2010|2011|2012|2013,5
315050,NJ,BURLINGTON,"COMPLETE CARE AT BURLINGTON WOODS, LLC",COMPLETE CARE AT BURLINGTON WOODS LLC,WELLTOWER INC,07/01/2021,5% OR GREATER SECURITY INTEREST|ADP OF THE SNF,Y,BURLINGTON WOODS,BURLINGTON WOODS,"COMPLETE CARE AT BURLINGTON WOODS, LLC","COMPLETE CARE AT BURLINGTON WOODS, LLC","COMPLETE CARE AT BURLINGTON WOODS, LLC","COMPLETE CARE AT BURLINGTON WOODS, LLC","COMPLETE CARE AT BURLINGTON WOODS, LLC",,Current CMS ownership file shows a Welltower owner entity with a 2021 association date on a Complete Care facility row.,"Welltower disclosed in March 2021 that 35 traditional Genesis SNFs would be sold to a JV with Aurora Health Network and Peace Capital, and later described seven former Genesis facilities transitioned to Complete Care.",2009|2010|2011|2012|2013,5
315228A,NJ,CAPE MAY COURT HOUSE,"COMPLETE CARE AT COURT HOUSE, LLC",COMPLETE CARE AT COURT HOUSE LLC,WELLTOWER INC,07/01/2021,5% OR GREATER SECURITY INTEREST|ADP OF THE SNF,Y,,,,,,,,,Current CMS ownership file shows a Welltower owner entity with a 2021 association date on a Complete Care facility row.,"Welltower disclosed in March 2021 that 35 traditional Genesis SNFs would be sold to a JV with Aurora Health Network and Peace Capital, and later described seven former Genesis facilities transitioned to Complete Care.",,0
315216,NJ,CEDAR GROVE,COMPLETE CARE AT CEDAR GROVE,COMPLETE CARE AT WATERVIEW LLC,WELLTOWER INC,07/30/2021,5% OR GREATER SECURITY INTEREST|ADP OF THE SNF,Y,WATERVIEW CENTER,WATERVIEW CENTER,COMPLETE CARE AT CEDAR GROVE,COMPLETE CARE AT CEDAR GROVE,COMPLETE CARE AT CEDAR GROVE,COMPLETE CARE AT CEDAR GROVE,COMPLETE CARE AT CEDAR GROVE,,Current CMS ownership file shows a Welltower owner entity with a 2021 association date on a Complete Care facility row.,"Welltower disclosed in March 2021 that 35 traditional Genesis SNFs would be sold to a JV with Aurora Health Network and Peace Capital, and later described seven former Genesis facilities transitioned to Complete Care.",2009|2010|2011|2012|2013,5
315349,NJ,ENGLEWOOD,"COMPLETE CARE AT INGLEMOOR, LLC",COMPLETE CARE AT INGLEMOOR LLC,WELLTOWER INC,07/01/2021,5% OR GREATER SECURITY INTEREST|ADP OF THE SNF,Y,INGLEMOOR CENTER,INGLEMOOR CENTER,"COMPLETE CARE AT INGLEMOOR, LLC","COMPLETE CARE AT INGLEMOOR, LLC","COMPLETE CARE AT INGLEMOOR, LLC","COMPLETE CARE AT INGLEMOOR, LLC","COMPLETE CARE AT INGLEMOOR, LLC",,Current CMS ownership file shows a Welltower owner entity with a 2021 association date on a Complete Care facility row.,"Welltower disclosed in March 2021 that 35 traditional Genesis SNFs would be sold to a JV with Aurora Health Network and Peace Capital, and later described seven former Genesis facilities transitioned to Complete Care.",2009|2010|2011|2012|2013,5
