analysis_sample,treat_year,state,deal_id,facility_count
exclude,2015,TX,PE002,1
gold_main,2020,FL,PE001,1
gold_main,2021,NJ,PE007,1
gold_main,2022,FL,PE013,4
gold_main,2022,NJ,PE007,2
gold_main,2023,CA,PE015,2
gold_main,2023,FL,PE013,3
gold_main,2024,CA,PE015,1
gold_main,2024,IA,PE008,17
silver_main,2016,CA,PE017,2
silver_main,2016,TX,PE002,1
silver_main,2019,MD,PE007,1
silver_main,2019,PA,PE007,1
silver_main,2020,PA,PE007,2
silver_main,2020,VA,PE007,3
silver_main,2021,NC,PE001,1
silver_main,2022,TX,PE002,3
silver_main,2023,CA,PE016,1
silver_main,2024,IA,PE008,6
silver_unclear,2019,FL,PE013,1
silver_unclear,2020,FL,PE001,1
silver_unclear,2020,NC,PE001,2
silver_unclear,2021,NC,PE001,1
silver_unclear,2023,CA,PE014,3
