deal_id,pe_firm,platform_name,facility_name,ccn,state,city,address,source_platform_link,source_facility_link,cms_owner_name,cms_affiliated_entity,ownership_effective_date,cms_change_of_ownership_flag,pre_owner_name,pre_owner_effective_end,pre_owner_pe_status,pre_operator_name,post_operator_name,post_owner_pe_status,transition_basis,transition_type,transition_verified,match_quality,verification_tier,verification_notes,analysis_sample,evidence_pathway,current_pe_evidence,pre_period_certainty
PE001,Portopiccolo Group,Accordius/Peak/Pelican/Orchid Cove,Accordius Health At Charlotte,345243,NC,Charlotte,"5939 Reddman Road, Charlotte, NC 28212",https://www.citizen.org/article/nursing-home-transparency/,https://projects.propublica.org/nursing-homes/homes/h-345243,Mc M53 Spe Opco Holdco (100%); Accordius Snf Holdco Llc; Hc Family Trust; Shnz Holdings Llc; Wyncote Llc; Zanziper Family Trust; Kimberly Morrow,Affiliated With Simcha Hyman & Naftali Zanziper,Jan 2020,yes,SSC Charlotte Operating Company LLC / SavaSeniorCare-linked ownership structure,before Jan 2020,unknown,SavaSeniorCare-linked management structure,Accordius Health LLC,pe,owner_and_operator_change,unclear,no,exact,silver,"Post-transition evidence is strong on ProPublica/CMS. Older CMS-mirrored pages identify the home as Brian Center Health & Rehab/Ch under SSC Charlotte Operating Company LLC before the Accordius/Portopiccolo-linked structure, but prior PE status remains ambiguous.",silver_unclear,chain_deal_plus_facility_match,facility_cms_direct,likely_pe_or_financialized
PE001,Portopiccolo Group,Accordius/Peak/Pelican/Orchid Cove,Accordius Health At Gastonia,345162,NC,Gastonia,"416 N Highland Street, Gastonia, NC 28052",https://www.citizen.org/article/nursing-home-transparency/,https://projects.propublica.org/nursing-homes/homes/h-345162,Mc M53 Spe Opco Holdco (100%); Accordius Snf Holdco Llc; Hc Family Trust; Shnz Holdings Llc; Wyncote Llc; Zanziper Family Trust; Kimberly Morrow,Affiliated With Simcha Hyman & Naftali Zanziper,Dec 2021,yes,Accordius Health at Gastonia LLC or related pre-2021 ownership structure,before Dec 2021,unknown,unknown,Accordius Health LLC,pe,ownership_change_with_brand_continuity,unclear,no,exact,silver,"ProPublica lists the Portopiccolo-linked ownership structure from Dec 2021 forward. Older CMS-mirrored material already shows the Accordius brand by 2019, so the immediate prior owner behind the 2021 change still needs direct CMS change-of-ownership verification.",silver_unclear,chain_deal_plus_facility_match,facility_cms_direct,unknown
PE001,Portopiccolo Group,Accordius/Peak/Pelican/Orchid Cove,Accordius Health At Mooresville,345179,NC,Mooresville,"752 E Center Avenue, Mooresville, NC 28115",https://www.citizen.org/article/nursing-home-transparency/,https://projects.propublica.org/nursing-homes/homes/h-345179,Mc M53 Spe Opco Holdco (100%); Accordius Snf Holdco Llc; Hc Family Trust; Shnz Holdings Llc; Wyncote Llc; Zanziper Family Trust; Kimberly Morrow,Affiliated With Simcha Hyman & Naftali Zanziper,Jan 2020,yes,SSC Mooresville Operating Company LLC / SavaSeniorCare-linked ownership structure,before Jan 2020,unknown,SavaSeniorCare-linked management structure,Accordius Health LLC,pe,owner_and_operator_change,unclear,no,exact,silver,"Post-transition evidence is strong on ProPublica/CMS. Older CMS-mirrored pages identify the home as Brian Center Health and Retirement under SSC Mooresville Operating Company LLC before the Accordius/Portopiccolo-linked structure, but prior PE status is still ambiguous.",silver_unclear,chain_deal_plus_facility_match,facility_cms_direct,likely_pe_or_financialized
PE001,Portopiccolo Group,Accordius/Peak/Pelican/Orchid Cove,Accordius Health At Rose Manor,345081,NC,Durham,"304 North Roxboro Street, Durham, NC 27701",https://www.citizen.org/article/nursing-home-transparency/,https://projects.propublica.org/nursing-homes/homes/h-345081,Simcha Hyman; Naftali Zanziper,Affiliated With Simcha Hyman & Naftali Zanziper,post-2021 structure visible,yes,Eagle Acquisition IV LLC / Philipson Family LLC / Benjamin Landa,before Portopiccolo period,likely_non_pe,Concordia Transitional Care & Rehab-Rose Manor,Accordius Health LLC,pe,owner_and_operator_change,likely_non_pe_to_pe,no,probable,silver,This is the strongest Portopiccolo addition so far because the pre side looks like a localized family/operator structure rather than the Sava/SSC network. I still want one more historical source before coding it fully verified.,silver_main,chain_deal_plus_facility_match,facility_cms_direct,likely_non_pe
PE001,Portopiccolo Group,Accordius/Peak/Pelican/Orchid Cove,Sunrise Point Health And Rehabilitation Center,105250,FL,Rockledge,"1775 Huntington Lane, Rockledge, FL 32955",https://projects.propublica.org/nursing-homes/affiliate/a-580,https://projects.propublica.org/nursing-homes/homes/h-105250,Simcha Hyman (50%); Naftali Zanziper (50%),Affiliated With Simcha Hyman & Naftali Zanziper,Apr 2020,yes,Huntington Place Limited Partnership / Genesis Healthcare-linked structure,before Apr 2020,non_pe,Genesis Healthcare LLC / Huntington Place Limited Partnership,No information available,pe,owner_change_to_direct_pe_principals,non_pe_to_pe,yes,exact,gold,"The current CMS-linked page shows Simcha Hyman and Naftali Zanziper as direct owners since Apr 2020. The older CMS-mirrored page for the same CCN/address identifies the facility as Huntington Place with Genesis Healthcare in the indirect ownership chain. Because Genesis was a public nursing home operator rather than a known PE owner in the pre-period, this is a usable non-PE to PE transition.",gold_main,facility_public_current_plus_prehistory,facility_cms_direct,clear_non_pe
PE001,Portopiccolo Group,Accordius/Peak/Pelican/Orchid Cove,Winter Park Care And Rehabilitation Center,105332,FL,Winter Park,"2970 Scarlet Road, Winter Park, FL 32792",https://www.citizen.org/article/nursing-home-transparency/,https://projects.propublica.org/nursing-homes/homes/h-105332,Simcha Hyman; Naftali Zanziper,Affiliated With Simcha Hyman & Naftali Zanziper,Feb 2020 / Apr 2020,yes,LP Winter Park LLC / Signature Healthcare-linked structure,before Feb 2020,unknown,Signature Healthcare Consulting Services LLC,Orchid Cove Health Group LLC,pe,owner_and_operator_change,unclear,no,probable,silver,"Cleaner than the Sava/SSC examples, but I still have not ruled out PE-style backing on the Signature side, so this stays below the main treatment set for now.",silver_unclear,chain_deal_plus_facility_match,facility_cms_direct,likely_pe_or_financialized
PE002,Assured Healthcare Partners,Regency Integrated Health Services,Bastrop Lost Pines Nursing And Rehabilitation Center,676222,TX,Bastrop,"430 Old Austin Hwy, Bastrop, TX 78602",https://www.regencyhealthcare.com/locations/,https://projects.propublica.org/nursing-homes/homes/h-676222,Smithville Hospital Authority (100%),Affiliated With Wellsential Health,Feb 2016,yes,Smithville Hospital Authority,before Feb 2016,non_pe,unknown,Regency IHS of Bastrop Lost Pines LLC / Regency Integrated Health Services LLC,pe,operator_change_under_public_owner,unclear,no,exact,silver,"Current CMS-linked data clearly show public direct ownership plus Regency managerial control beginning in Feb 2016. This is a plausible non-PE to PE-backed operator shift, but the pre-Regency operator is not yet identified.",silver_main,chain_deal_plus_facility_match,facility_cms_managerial,likely_non_pe
PE002,Assured Healthcare Partners,Regency Integrated Health Services,Brenham Nursing And Rehabilitation Center,675799,TX,Brenham,"400 E Sayles St, Brenham, TX 77833",https://www.regencyhealthcare.com/locations/,https://projects.propublica.org/nursing-homes/homes/h-675799,Oakbend Medical Center (100%),Affiliated With Wellsential Health,Feb 2015,yes,Oakbend Medical Center,before Feb 2015,non_pe,unknown,"Regency IHS of Brenham, LLC / Regency Integrated Health Services LLC",pe,operator_change_under_public_owner,unclear,no,exact,silver,Current CMS-linked data clearly show Oakbend as direct owner and Regency managerial control from Feb 2015. This is likely outside a 2016-2026 window and still lacks the immediate pre-Regency operator.,exclude,chain_deal_plus_facility_match,facility_cms_managerial,likely_non_pe
PE002,Assured Healthcare Partners,Regency Integrated Health Services,Heritage Park Rehabilitation And Skilled Nursing C,455599,TX,Austin,"2806 Real St, Austin, TX 78722",https://www.regencyhealthcare.com/locations/,https://projects.propublica.org/nursing-homes/homes/h-455599,Val Verde County Hospital District (100%),Affiliated With Wellsential Health,Apr 2022,yes,Oakbend Medical Center or related pre-2022 ownership structure,before Apr 2022,non_pe,unknown,"Regency IHS of Heritage Park, LLC / Regency Integrated Health Services LLC",pe,owner_and_operator_change,unclear,no,exact,silver,"This is one of the stronger Regency candidates. Current CMS-linked data show a 2022 shift into Regency managerial control, and older records suggest a non-PE pre-2022 ownership structure, but the immediate prior operator is still not pinned down.",silver_main,chain_deal_plus_facility_match,facility_cms_managerial,likely_non_pe
PE002,Assured Healthcare Partners,Regency Integrated Health Services,Memorial City Nursing And Rehabilitation Center,676258,TX,Houston,"1341 Blalock, Houston, TX 77055",https://www.regencyhealthcare.com/locations/,https://projects.propublica.org/nursing-homes/homes/h-676258,Oakbend Medical Center (100%),Affiliated With Wellsential Health,Dec 2022,yes,Oakbend Medical Center,before Dec 2022,non_pe,unknown,Regency IHS of Memorial City LLC / Regency Integrated Health Services LLC,pe,operator_change_under_public_owner,unclear,no,exact,silver,"Current CMS-linked data show unchanged non-PE direct ownership with Regency managerial control beginning in Dec 2022. This is a plausible non-PE to PE-backed operator shift, but the pre-2022 operator is still unknown.",silver_main,chain_deal_plus_facility_match,facility_cms_managerial,likely_non_pe
