ccn,facility_name,state,deal_id,reit_name,platform_name,ownership_effective_date,treat_year,source_group,verification_tier,analysis_sample,sample_role,transition_type
155495,PADDOCK SPRINGS,IN,REIT001,American Healthcare REIT,Trilogy,2015,2015,trilogy_2015_verified,verified,reit_main,treated,non_reit_to_reit_or_reit_jv
155680,HOMEWOOD HEALTH CAMPUS,IN,REIT001,American Healthcare REIT,Trilogy,2015,2015,trilogy_2015_verified,verified,reit_main,treated,non_reit_to_reit_or_reit_jv
155712,COVERED BRIDGE HEALTH CAMPUS,IN,REIT001,American Healthcare REIT,Trilogy,2015,2015,trilogy_2015_verified,verified,reit_main,treated,non_reit_to_reit_or_reit_jv
155727,STONEBRIDGE HEALTH CAMPUS,IN,REIT001,American Healthcare REIT,Trilogy,2015,2015,trilogy_2015_verified,verified,reit_main,treated,non_reit_to_reit_or_reit_jv
155735,ASHFORD PLACE HEALTH CAMPUS,IN,REIT001,American Healthcare REIT,Trilogy,2015,2015,trilogy_2015_verified,verified,reit_main,treated,non_reit_to_reit_or_reit_jv
155736,MILL POND HEALTH CAMPUS,IN,REIT001,American Healthcare REIT,Trilogy,2015,2015,trilogy_2015_verified,verified,reit_main,treated,non_reit_to_reit_or_reit_jv
155762,FOREST PARK HEALTH CAMPUS,IN,REIT001,American Healthcare REIT,Trilogy,2015,2015,trilogy_2015_verified,verified,reit_main,treated,non_reit_to_reit_or_reit_jv
155772,COBBLESTONE CROSSINGS HEALTH CAMPUS,IN,REIT001,American Healthcare REIT,Trilogy,2015,2015,trilogy_2015_verified,verified,reit_main,treated,non_reit_to_reit_or_reit_jv
155775,CUMBERLAND POINTE HEALTH CAMPUS,IN,REIT001,American Healthcare REIT,Trilogy,2015,2015,trilogy_2015_verified,verified,reit_main,treated,non_reit_to_reit_or_reit_jv
155777,CREASY SPRINGS HEALTH CAMPUS,IN,REIT001,American Healthcare REIT,Trilogy,2015,2015,trilogy_2015_verified,verified,reit_main,treated,non_reit_to_reit_or_reit_jv
155779,PRAIRIE LAKES HEALTH CAMPUS,IN,REIT001,American Healthcare REIT,Trilogy,2015,2015,trilogy_2015_verified,verified,reit_main,treated,non_reit_to_reit_or_reit_jv
155791,BLAIR RIDGE HEALTH CAMPUS,IN,REIT001,American Healthcare REIT,Trilogy,2015,2015,trilogy_2015_verified,verified,reit_main,treated,non_reit_to_reit_or_reit_jv
155795,AVALON SPRINGS HEALTH CAMPUS,IN,REIT001,American Healthcare REIT,Trilogy,2015,2015,trilogy_2015_verified,verified,reit_main,treated,non_reit_to_reit_or_reit_jv
