ccn_str,facility_name,state,sample_role,provider_chain_name_latest,owner_name_raw_primary,owner_aliases_raw,owner_identification_method,owner_cluster,parent_owner_name,owner_source_type,owner_source_label,owner_source_url,owner_source_note,reit_years_in_panel,first_reit_year_in_panel,last_reit_year_in_panel,consecutive_reit_run_start,consecutive_reit_run_end,consecutive_reit_run_length,first_reit_snapshot_date,last_reit_snapshot_date,owner_takeover_date_estimated,owner_takeover_date_source,change_in_ownership_date_if_observed,change_in_ownership_type,prior_owner_name_if_observed,prior_owner_source,all_buyer_chow_dates,all_buyer_chow_seller_names,pre_reit_snapshot_date,pre_reit_snapshot_owner_entities,cluster_size
155816,ARLINGTON PLACE HEALTH CAMPUS,IN,control,TRILOGY HEALTH SERVICES,AMERICAN HEALTHCARE REIT INC,AMERICAN HEALTHCARE REIT INC|TRILOGY REAL ESTATE INVESTMENT TRUST,named_reit_owner_row,American Healthcare REIT / Trilogy,"American Healthcare REIT, Inc.",official_company_ir,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,2025|2026,2025,2026,2025,2026,2,2025-12-02,2026-03-02,2015-12-01,CMS SNF_All_Owners association date,,,,,,,2025-11-06,"KELLY BRAVERMAN CEO, PRESIDENT|STEPHEN J BARDOCZI VICE PRESIDENT|TRILOGY MANAGEMENT SERVICES LLC|WITHAM MEMORIAL HOSPITAL|DANIEL E SELLERS CFO|MICHAEL JASON HORNBECKER BOARD TRUSTEE|ANDREA CASTETTER BOARD TRUSTEE|CLAUDE A HAWKINS BOARD TRUSTEE|JOHN W BRAND BOARD TRUSTEE|BRETT BAYSTON BOARD TRUSTEE",38
155735,ASHFORD PLACE HEALTH CAMPUS,IN,control,TRILOGY HEALTH SERVICES,TRILOGY REAL ESTATE INVESTMENT TRUST,"AMERICAN HEALTHCARE REIT, INC.|TRILOGY REAL ESTATE INVESTMENT TRUST|AMERICAN HEALTHCARE REIT INC",named_reit_owner_row,American Healthcare REIT / Trilogy,"American Healthcare REIT, Inc.",official_company_ir,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,2025|2026,2025,2026,2025,2026,2,2025-09-01,2026-03-02,2015-12-01,CMS SNF_All_Owners association date,,,,,,,2025-08-01,"ROY L WILSON BOARD MEMBER|TIMOTHY G CLARK BOARD MEMBER|HANCOCK REGIONAL HOSPITAL|ZACHARY SIMPSON ADMINISTRATOR|STEVEN V LONG PRESIDENT/CEO|TRILOGY HEALTHCARE OPERATIONS OF SHELBYVILLE, LLC|JOSHUA DAUGHERTY VICE CHAIR|DEAN R FELKER BOARD MEMBER|MARIA F BOND SECRETARY|JAMES W MILLER BOARD MEMBER|SARA M JOYNER BOARD MEMBER",38
155797,ASPEN PLACE HEALTH CAMPUS,IN,control,TRILOGY HEALTH SERVICES,AMERICAN HEALTHCARE REIT INC,AMERICAN HEALTHCARE REIT INC|TRILOGY REAL ESTATE INVESTMENT TRUST,named_reit_owner_row,American Healthcare REIT / Trilogy,"American Healthcare REIT, Inc.",official_company_ir,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,2025|2026,2025,2026,2025,2026,2,2025-10-01,2026-03-02,2015-12-01,CMS SNF_All_Owners association date,,,,,,,2025-09-01,"JOHN D PIDGEON CHAIRMAN|MARION E SHORE BOARD MEMBER|BRENDA BANNON ADMINISTRATOR|HENRY COUNTY MEMORIAL HOSPITAL|DEBORAH WARE BOARD MEMBER|PAUL F JANSSEN PRESIDENT/CEO|TRILOGY HEALTHCARE OF GREENSBURG, LLC|SHELDON L DYNES BOARD MEMBER",38
155795,AVALON SPRINGS HEALTH CAMPUS,IN,control,TRILOGY HEALTH SERVICES,TRILOGY REAL ESTATE INVESTMENT TRUST,"AMERICAN HEALTHCARE REIT, INC.|TRILOGY REAL ESTATE INVESTMENT TRUST|AMERICAN HEALTHCARE REIT INC",named_reit_owner_row,American Healthcare REIT / Trilogy,"American Healthcare REIT, Inc.",official_company_ir,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,2025|2026,2025,2026,2025,2026,2,2025-09-01,2026-03-02,2015-12-01,CMS SNF_All_Owners association date,,,,,,,2025-08-01,"ROY L WILSON SECRETARY|TRILOGY HEALTHCARE OF PORTER, LLC|TIMOTHY G CLARK BOARD MEMBER|CRYSTAL WRAY ADMINISTRATOR|HANCOCK REGIONAL HOSPITAL|STEVEN V LONG CEO/PRESIDENT|JOSHUA DAUGHERTY VICE CHAIR|DEAN R FELKER BOARD MEMBER|MARIA F BOND SECRETARY|JAMES W MILLER CHAIRPERSON|SARA M JOYNER BOARD MEMBER",38
155791,BLAIR RIDGE HEALTH CAMPUS,IN,control,TRILOGY HEALTH SERVICES,AMERICAN HEALTHCARE REIT INC,AMERICAN HEALTHCARE REIT INC|TRILOGY REAL ESTATE INVESTMENT TRUST,named_reit_owner_row,American Healthcare REIT / Trilogy,"American Healthcare REIT, Inc.",official_company_ir,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,2025|2026,2025,2026,2025,2026,2,2025-11-06,2026-03-02,2015-12-01,CMS SNF_All_Owners association date,,,,,,,2025-10-01,"KELLY BRAVERMAN CEO, PRESIDENT|STEPHEN J BARDOCZI VICE PRESIDENT|TRILOGY MANAGEMENT SERVICES LLC|WITHAM MEMORIAL HOSPITAL|DANIEL E SELLERS CFO|MICHAEL JASON HORNBECKER CFO|ANDREA CASTETTER BOARD TRUSTEE|CLAUDE A HAWKINS BOARD TRUSTEE|JOHN W BRAND BOARD TRUSTEE|TAMARA TINSLEY EXECUTIVE DIRECTOR|BRETT BAYSTON BOARD TRUSTEE",38
155822,CEDAR CREEK HEALTH CAMPUS,IN,control,TRILOGY HEALTH SERVICES,AMERICAN HEALTHCARE REIT INC,AMERICAN HEALTHCARE REIT INC|TRILOGY REAL ESTATE INVESTMENT TRUST,named_reit_owner_row,American Healthcare REIT / Trilogy,"American Healthcare REIT, Inc.",official_company_ir,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,2025|2026,2025,2026,2025,2026,2,2025-11-06,2026-03-02,2015-12-01,CMS SNF_All_Owners association date,,,,,,,2025-10-01,ROY L WILSON SECRETARY|TIMOTHY G CLARK BOARD MEMBER|HANCOCK REGIONAL HOSPITAL|STEVEN V LONG CEO/PRESIDENT|TRILOGY HEALTHCARE OF LOWELL LLC|LEIGH ANN BARNEY ADMINISTRATOR|JOSHUA DAUGHERTY VICE CHAIR|DEAN R FELKER BOARD MEMBER|MARIA F BOND SECRETARY|JAMES W MILLER CHAIRPERSON|SARA M JOYNER CHAIR,38
155815,CLEARVISTA LAKE HEALTH CAMPUS,IN,control,TRILOGY HEALTH SERVICES,AMERICAN HEALTHCARE REIT INC,AMERICAN HEALTHCARE REIT INC|TRILOGY REAL ESTATE INVESTMENT TRUST,named_reit_owner_row,American Healthcare REIT / Trilogy,"American Healthcare REIT, Inc.",official_company_ir,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,2025|2026,2025,2026,2025,2026,2,2025-12-02,2026-03-02,2015-12-01,CMS SNF_All_Owners association date,,,,,,,2025-11-06,"JACK JONES BOARD TRUSTEE|KELLY BRAVERMAN CEO, PRESIDENT|STEPHEN J BARDOCZI VICE PRESIDENT|RHS PARTNERS OF CASTLETON LLC|WITHAM MEMORIAL HOSPITAL|GEORGE POGAS CFO, SR. VICE PRESIDENT|KEVIN ALBRECHT|ANDREA CASTETTER BOARD TRUSTEE|CLAUDE A HAWKINS BOARD TRUSTEE|JOHN W BRAND BOARD TRUSTEE|BRETT BAYSTON BOARD TRUSTEE",38
155772,COBBLESTONE CROSSINGS HEALTH CAMPUS,IN,control,TRILOGY HEALTH SERVICES,TRILOGY REAL ESTATE INVESTMENT TRUST,AMERICAN HEALTHCARE REIT INC|TRILOGY REAL ESTATE INVESTMENT TRUST,named_reit_owner_row,American Healthcare REIT / Trilogy,"American Healthcare REIT, Inc.",official_company_ir,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,2025|2026,2025,2026,2025,2026,2,2025-11-06,2026-03-02,2015-12-01,CMS SNF_All_Owners association date,,,,,,,2025-10-01,MATTHEW L HEADLEY BOARD MEMBER|PUTNAM COUNTY HOSPITAL|NICOLE GRIFFITH ADMINISTRATOR|NICOLE GRIFFITH EXECUTIVE DIRECTOR|DENNIS D O'HAIR BOARD MEMBER|TRILOGY HEALTHCARE OF VIGO LLC|KEITH P LANDRY SECRETARY/TREASURER|ARNOLD D BRAY PRESIDENT|JANICE M FRY BOARD MEMBER|ROBERT N MANN VICE PRESIDENT|DENNIS A WEATHERFORD CEO|KATRINA ANN LEWIS BOARD MEMBER,38
155712,COVERED BRIDGE HEALTH CAMPUS,IN,control,TRILOGY HEALTH SERVICES,AMERICAN HEALTHCARE REIT INC,AMERICAN HEALTHCARE REIT INC,named_reit_owner_row,American Healthcare REIT / Trilogy,"American Healthcare REIT, Inc.",official_company_ir,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,2025|2026,2025,2026,2025,2026,2,2025-12-02,2026-03-02,2018-10-01,CMS SNF_All_Owners association date,,,,,,,2025-11-06,"TRILOGY HEALTHCARE OF SEYMOUR, LLC|JACK L MCCORY BOARD MEMBER|RICK L SMITH CHAIRMAN|ANDREW B MARKEL BOARD MEMBER|COURTNEY B KLEBER BOARD MEMBER|ANGELA M SHORT ADMINISTRATOR|DEBORAH A MANN CFO|MATTHEW K REEDY BOARD MEMBER|TERRENCE L GILLILAND BOARD MEMBER|SUSAN D BEVERS BOARD MEMBER|ERIC D FISH PRESIDENT/CEO|BRANDON J HARPE BOARD MEMBER|JACKSON COUNTY SCHNECK MEMORIAL HOSPITAL|ROBERT D GILLASPY BOARD MEMBER",38
155777,CREASY SPRINGS HEALTH CAMPUS,IN,control,TRILOGY HEALTH SERVICES,TRILOGY REAL ESTATE INVESTMENT TRUST,"AMERICAN HEALTHCARE REIT, INC.|TRILOGY REAL ESTATE INVESTMENT TRUST|AMERICAN HEALTHCARE REIT INC",named_reit_owner_row,American Healthcare REIT / Trilogy,"American Healthcare REIT, Inc.",official_company_ir,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,2025|2026,2025,2026,2025,2026,2,2025-08-01,2026-03-02,2015-12-01,CMS SNF_All_Owners association date,,,,,,,2025-07-01,TRILOGY HEALTHCARE OF LAFAYETTE LLC|ROY L WILSON SECRETARY|TIMOTHY G CLARK BOARD MEMBER|HANCOCK REGIONAL HOSPITAL|STEVEN V LONG CEO/PRESIDENT|JUSTIN RIFE ADMINISTRATOR|JOSHUA DAUGHERTY VICE CHAIR|DEAN R FELKER BOARD MEMBER|MARIA F BOND SECRETARY|JAMES W MILLER CHAIRPERSON|SARA M JOYNER CHAIR,38
