analysis_spec,sample_role,analysis_sample_label,ccn_str,analysis_facility_name,analysis_state,year,ever_treated,treat_year,post_treat,event_time,deal_id,pe_firm,platform_name,transition_type,transition_verified,verification_tier,ownership_effective_date,baseline_medicaid_share,baseline_medicaid_n_years,baseline_medicare_share,baseline_medicare_n_years,high_medicare,any_private_equity_owner,any_reit_owner,any_trust_owner,any_investment_firm_owner,any_holding_company_owner,any_management_company_owner,baseline_window_start,baseline_window_end,baseline_method,valid_pseudocohorts,has_baseline_medicaid,has_form671,has_pbj_nurse,has_provider_info,has_provider_info_latest,has_owner_snapshot,has_chow_event,has_enrollment_snapshot,control_v2_eligible,control_v2_staffing_eligible,panel_years,years_with_form671,years_with_pbj_nurse,pbj_days_observed,pbj_mean_census,pbj_total_rn_hours,pbj_total_nurse_hours,pbj_mean_rn_hprd,pbj_mean_nurse_hprd,provider_reported_staffing_hprd,provider_staffing_rating,provider_rn_staffing_rating,provider_health_rating,provider_overall_rating,provider_qm_rating,provider_survey_score,provider_reported_incidents,provider_subst_complaints,provider_ic_citations,provider_number_of_fines,provider_total_fines_dollars,provider_payment_denials,provider_total_penalties,provider_changed_ownership_12m,form671_total_residents_mean,form671_medicaid_census_mean,form671_medicare_census_mean,form671_medicaid_share_mean,provider_ownership_type,provider_certified_beds,provider_avg_residents_per_day,provider_legal_business_name,provider_chain_name,provider_chain_id,provider_name,provider_state,facility_name_treatment,state_treatment,city_treatment,provider_processing_date,outcome_available_pbj_staffing,has_provider_staffing_outcome,has_star_rating_outcome,has_form671_payer_mix_outcome,sample_main_staffing,sample_provider_staffing,sample_star_ratings,sample_payer_mix_outcome
gold_main_v2,control,control_v2,015120,"NHC HEALTHCARE, ANNISTON",AL,2016,0,,,,,,,,,,,43.63711059907834,4.0,27.10666359447005,4.0,1,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,5.0,1,0,0,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,,,,,,,3.74821,3.0,4.0,4.0,4.0,3.0,20.667,0.0,0.0,,0.0,0.0,0.0,0.0,N,,,,,For profit - Corporation,151.0,139.0,NHC HEALTHCARE-ANNISTON LLC,,,"NHC HEALTHCARE, ANNISTON",,,,,,0,1,1,0,0,1,1,0
gold_main_v2,control,control_v2,015120,"NHC HEALTHCARE, ANNISTON",AL,2017,0,,,,,,,,,,,43.63711059907834,4.0,27.10666359447005,4.0,1,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,5.0,1,0,1,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,365.0,140.4129857461379,38257.75,196758.0,0.7463125925868169,3.8425860967417536,3.8,3.0,4.0,3.0,3.0,4.0,22.667,0.0,2.0,,0.0,0.0,0.0,0.0,N,,,,,For profit - Corporation,151.0,143.0,NHC HEALTHCARE-ANNISTON LLC,,,"NHC HEALTHCARE, ANNISTON",,,,,2017-12-01,1,1,1,0,1,1,1,0
gold_main_v2,control,control_v2,015120,"NHC HEALTHCARE, ANNISTON",AL,2018,0,,,,,,,,,,,43.63711059907834,4.0,27.10666359447005,4.0,1,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,5.0,1,0,1,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,365.0,140.96955924510272,33847.53,203369.17,0.65730596169602,3.9533737327308742,3.91622,,4.0,,,,24.000,0.0,2.0,,0.0,0.0,0.0,0.0,N,,,,,For profit - Corporation,151.0,140.2,NHC HEALTHCARE-ANNISTON LLC,,,"NHC HEALTHCARE, ANNISTON",,,,,2018-12-01,1,1,0,0,1,1,0,0
gold_main_v2,control,control_v2,015120,"NHC HEALTHCARE, ANNISTON",AL,2019,0,,,,,,,,,,,43.63711059907834,4.0,27.10666359447005,4.0,1,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,5.0,1,0,1,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,365.0,142.6109193342889,45619.5,208280.05,0.8752391551289593,4.000664382374287,3.9436,,4.0,,,,23.333,0.0,0.0,,0.0,0.0,0.0,0.0,N,,,,,For profit - Corporation,151.0,140.4,NHC HEALTHCARE-ANNISTON LLC,,,"NHC HEALTHCARE, ANNISTON",,,,,2019-11-01,1,1,0,0,1,1,0,0
gold_main_v2,control,control_v2,015120,"NHC HEALTHCARE, ANNISTON",AL,2020,0,,,,,,,,,,,43.63711059907834,4.0,27.10666359447005,4.0,1,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,5.0,1,0,1,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,366.0,127.96165790731008,36969.1,199554.83,0.7955563812534431,4.286693493469456,4.3746,4.0,4.0,4.0,4.0,4.0,12.667,0.0,0.0,,0.0,0.0,0.0,0.0,N,,,,,For profit - Corporation,151.0,127.8,NHC HEALTHCARE-ANNISTON LLC,,,"NHC HEALTHCARE, ANNISTON",,,,,2020-11-01,1,1,1,0,1,1,1,0
gold_main_v2,control,control_v2,015120,"NHC HEALTHCARE, ANNISTON",AL,2021,0,,,,,,,,,,,43.63711059907834,4.0,27.10666359447005,4.0,1,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,5.0,1,0,1,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,365.0,120.98958631947762,33004.67,179816.83,0.7553170851315822,4.099831823328424,3.69638,4.0,4.0,2.0,3.0,2.0,24.667,0.0,1.0,2.0,2.0,19636.5,0.0,2.0,N,,,,,For profit - Corporation,151.0,126.9,NHC HEALTHCARE-ANNISTON LLC,,,"NHC HEALTHCARE, ANNISTON",,,,,2021-11-01,1,1,1,0,1,1,1,0
gold_main_v2,control,control_v2,015120,"NHC HEALTHCARE, ANNISTON",AL,2022,0,,,,,,,,,,,43.63711059907834,4.0,27.10666359447005,4.0,1,False,False,False,False,False,False,2016.0,2023.0,control_weighted_pseudocohort,5.0,1,0,1,1,1,1,0,1,1.0,1.0,11.0,3.0,9.0,365.0,121.98496376811596,26408.7,185673.64,0.594191522865219,4.175836308296741,4.04177,4.0,,3.0,3.0,2.0,18.667,0.0,1.0,2.0,2.0,19636.5,0.0,2.0,N,,,,,For profit - Corporation,151.0,122.0,NHC HEALTHCARE-ANNISTON LLC,,,"NHC HEALTHCARE, ANNISTON",,,,,2022-11-01,1,1,1,0,1,1,1,0
gold_main_v2,control,control_v2,015120,"NHC HEALTHCARE, ANNISTON",AL,2023,0,,,,,,,,,,,43.63711059907834,4.0,27.10666359447005,4.0,1,False,False,False,False,False,False,2016.0,2023.0,control_weighted_pseudocohort,5.0,1,1,1,1,1,1,0,1,1.0,1.0,11.0,3.0,9.0,365.0,129.46451730636514,34356.94,188233.82,0.7264123334359692,3.996370590573836,3.97851,4.0,,4.0,4.0,2.0,12.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,144.0,73.0,35.0,0.5069444444444444,For profit - Corporation,151.0,130.2,NHC HEALTHCARE-ANNISTON LLC,NATIONAL HEALTHCARE CORPORATION,364.0,"NHC HEALTHCARE, ANNISTON",AL,,,,2023-11-01,1,1,1,1,1,1,1,1
gold_main_v2,control,control_v2,015120,"NHC HEALTHCARE, ANNISTON",AL,2024,0,,,,,,,,,,,43.63711059907834,4.0,27.10666359447005,4.0,1,False,False,False,False,False,False,2016.0,2023.0,control_weighted_pseudocohort,5.0,1,1,1,1,1,1,0,1,1.0,1.0,11.0,3.0,9.0,366.0,124.48014214046825,36203.0,176774.0,0.7960747128071939,3.886763330388569,3.99083,4.0,,4.0,4.0,2.0,12.667,0.0,0.0,,0.0,0.0,0.0,0.0,N,140.75,72.25,31.25,0.5137961195928753,For profit - Corporation,151.0,125.2,NHC HEALTHCARE-ANNISTON LLC,NATIONAL HEALTHCARE CORPORATION,364.0,"NHC HEALTHCARE, ANNISTON",AL,,,,2024-11-01,1,1,1,1,1,1,1,1
gold_main_v2,control,control_v2,015120,"NHC HEALTHCARE, ANNISTON",AL,2025,0,,,,,,,,,,,43.63711059907834,4.0,27.10666359447005,4.0,1,False,True,False,True,False,False,2016.0,2023.0,control_weighted_pseudocohort,5.0,1,1,1,1,1,1,0,1,1.0,1.0,11.0,3.0,9.0,273.0,132.55110244023288,28998.5,131473.25,0.8020219640484534,3.6379029746500025,3.67337,4.0,,2.0,3.0,5.0,43.000,6.0,0.0,,1.0,11057.0,0.0,1.0,N,131.0,70.0,20.0,0.5343511450381679,For profit - Limited Liability company,151.0,131.6,NHC HEALTHCARE-ANNISTON LLC,NATIONAL HEALTHCARE CORPORATION,364.0,"NHC HEALTHCARE, ANNISTON",AL,,,,2025-11-01,1,1,1,1,1,1,1,1
