ccn_str,facility_name,state,sample_role,provider_chain_name_latest,owner_name_raw_primary,owner_identification_method,owner_cluster,public_parent_name,public_entity_type,public_reit_status,public_source_label,public_source_url,public_source_note,verification_confidence,reit_years_in_panel,takeover_date_best,takeover_date_best_source,owner_takeover_date_estimated,change_in_ownership_date_if_observed,prior_owner_name_if_observed,prior_owner_candidates_pre_reit_snapshot,current_owner_visible_in_pre_reit_snapshot,ownership_change_signal,owner_aliases_raw,parent_owner_name,owner_source_type,owner_source_label,owner_source_url,owner_source_note,first_reit_year_in_panel,last_reit_year_in_panel,consecutive_reit_run_start,consecutive_reit_run_end,consecutive_reit_run_length,first_reit_snapshot_date,last_reit_snapshot_date,owner_takeover_date_source,change_in_ownership_type,prior_owner_source,all_buyer_chow_dates,all_buyer_chow_seller_names,pre_reit_snapshot_date,pre_reit_snapshot_owner_entities,cluster_size
385239,AVAMERE REHABILITATION OF COOS BAY,OR,control,AVAMERE,"ARI OPERATIONS, LLC",same_snapshot_owner_fallback,"ARI OPERATIONS, LLC",Avamere,operator_company,no,Avamere official site,https://www.avamere.com/about/,Avamere describes itself as a post-acute and senior living care operator; mapping to ARI Operations comes from the local CMS owner records and Avamere-branded facilities.,medium,2025|2026,2006-01-06,CMS owner association date,2006-01-06,,,ARISO LLC|AVAMERE GROUP LLC,True,same_owner_already_visible_pre_reit,"ARI OPERATIONS, LLC","ARI OPERATIONS, LLC",cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,2025,2026,2025,2026,2,2025-09-01,2026-03-02,CMS SNF_All_Owners association date,,,,,2025-08-01,"KARL RICKARD MILLER|KARL RICKARD MILLER CHAIRMAN|ARI OPERATIONS, LLC|GRETCHEN STAUFFER ADMINISTRATOR|ARISO LLC|RICHARD A DILLON|RICHARD A DILLON PRESIDENT|RONALD A ODERMOTT CFO|AVAMERE GROUP LLC",4
385132,AVAMERE REHABILITATION OF KING CITY,OR,control,AVAMERE,"ARI OPERATIONS, LLC",same_snapshot_owner_fallback,"ARI OPERATIONS, LLC",Avamere,operator_company,no,Avamere official site,https://www.avamere.com/about/,Avamere describes itself as a post-acute and senior living care operator; mapping to ARI Operations comes from the local CMS owner records and Avamere-branded facilities.,medium,2025|2026,2006-01-06,CMS owner association date,2006-01-06,,,ARISO LLC|AVAMERE GROUP LLC,True,same_owner_already_visible_pre_reit,"ARI OPERATIONS, LLC","ARI OPERATIONS, LLC",cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,2025,2026,2025,2026,2,2025-10-01,2026-03-02,CMS SNF_All_Owners association date,,,,,2025-09-01,"KARL RICKARD MILLER|ARI OPERATIONS, LLC|ANDREW SIMPSON CFO|ARISO LLC|DAVID P LARSON MD;|JONATHAN HILLMAN AD;|AVAMERE GROUP LLC|MARY KOFSTAD COO",4
505264,AVAMERE AT PACIFIC RIDGE,WA,control,AVAMERE,"ARI OPERATIONS, LLC",same_snapshot_owner_fallback,"ARI OPERATIONS, LLC",Avamere,operator_company,no,Avamere official site,https://www.avamere.com/about/,Avamere describes itself as a post-acute and senior living care operator; mapping to ARI Operations comes from the local CMS owner records and Avamere-branded facilities.,medium,2025|2026,2006-01-06,CMS owner association date,2006-01-06,,,ARISO LLC|AVAMERE GROUP LLC,True,same_owner_already_visible_pre_reit,"ARI OPERATIONS, LLC","ARI OPERATIONS, LLC",cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,2025,2026,2025,2026,2,2025-12-02,2026-03-02,CMS SNF_All_Owners association date,,,,,2025-11-06,"KARL RICKARD MILLER|KARL RICKARD MILLER CEO|ARI OPERATIONS, LLC|ANDREW SIMPSON CFO|ARISO LLC|JOSHUA B KRETCHMAR MD;|AVAMERE GROUP LLC|MARY KOFSTAD COO|CHRISTINE MILLER ADMINISTRATOR",4
505488,Richmond Beach Rehab,WA,control,AVAMERE,"ARI OPERATIONS, LLC",same_snapshot_owner_fallback,"ARI OPERATIONS, LLC",Avamere,operator_company,no,Avamere official site,https://www.avamere.com/about/,Avamere describes itself as a post-acute and senior living care operator; mapping to ARI Operations comes from the local CMS owner records and Avamere-branded facilities.,medium,2025|2026,2006-01-01,CMS owner association date,2006-01-01,,,ARISO LLC|AVAMERE HEALTH SERVICES LLC|AVAMERE GROUP LLC,True,same_owner_already_visible_pre_reit,"ARI OPERATIONS, LLC","ARI OPERATIONS, LLC",cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,2025,2026,2025,2026,2,2025-11-06,2026-03-02,CMS SNF_All_Owners association date,,,,,2025-10-01,"KARL RICKARD MILLER|ARI OPERATIONS, LLC|ANDREW SIMPSON CFO|ARISO LLC|AVAMERE HEALTH SERVICES LLC|DIANNE MANGIO AD;|RICHARD A DILLON|RONALD A ODERMOTT|AVAMERE GROUP LLC|MARY KOFSTAD COO|ARASH MIRZAIE AMIRABADI MD;",4
155243,MAJESTIC CARE OF LAFAYETTE,IN,control,MAJESTIC CARE,DEM FAMILY TRUST I,named_reit_owner_row,DEM FAMILY TRUST I,DEM FAMILY TRUST I,private_trust_or_individual_vehicle,no,CMS owner entity name,,Owner entity is a private trust rather than a REIT.,low,2025|2026,2025-06-18,CMS owner association date,2025-06-18,,,MAJESTIC CARE OF LAFAYETTE LLC|JACKSON COUNTY SCHNECK MEMORIAL HOSPITAL,False,different_named_entities_in_pre_reit_snapshot,DEM FAMILY TRUST I,DEM FAMILY TRUST I,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,2025,2026,2025,2026,2,2025-08-01,2026-03-02,CMS SNF_All_Owners association date,,,,,2025-07-01,JACK L MCCORY BOARD MEMBER|RICK L SMITH VICE CHAIRMAN|ANDREW B MARKEL BOARD MEMBER|COURTNEY B KLEBER BOARD MEMBER|DEBORAH A MANN VICE PRESIDENT FINANCE CFO/TREAS|MATTHEW K REEDY BOARD MEMBER|TERRENCE L GILLILAND BOARD MEMBER|SUSAN D BEVERS BOARD MEMBER|ERIC D FISH PRESIDENT/CEO|MAJESTIC CARE OF LAFAYETTE LLC|BRANDON J HARPE BOARD MEMBER|JACKSON COUNTY SCHNECK MEMORIAL HOSPITAL|ROBERT D GILLASPY BOARD MEMBER|DEAN RAMSEY ADMINISTRATOR,1
675433,FOCUSED CARE AT HUNTSVILLE,TX,control,FOCUSED POST ACUTE CARE PARTNERS,FOCUSED POST ACUTE CARE PARTNERS LLC,same_snapshot_owner_fallback,FOCUSED POST ACUTE CARE PARTNERS LLC,Focused Post Acute Care Partners,operator_company,no,Focused Post Acute Care Partners official site,https://fpacp.com/focused-post-acute-care-partners-acquisitions-launch-unique-business-model-bringing-improved-long-term-care-to-outlying-secondary-and-tertiary-markets/,"Focused said it acquired operations of skilled nursing facilities in Texas, which supports an operator rather than REIT role.",medium,2025|2026,2016-12-20,CMS owner association date,2016-12-20,,,"FOCUSED POST ACUTE CARE PARTNERS MANAGEMENT, LLC|TRINEESHA JOHNSON LICENSED NURSING FACILITY ADMINI",True,same_owner_already_visible_pre_reit,FOCUSED POST ACUTE CARE PARTNERS LLC,FOCUSED POST ACUTE CARE PARTNERS LLC,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,2025,2026,2025,2026,2,2025-11-06,2026-03-02,CMS SNF_All_Owners association date,,,,,2025-10-01,"FOCUSED POST ACUTE CARE PARTNERS MANAGEMENT, LLC|MARK S MCKENZIE|MARK S MCKENZIE PRESIDENT|MARK S MCKENZIE PRINCIPAL OF CONTRACTED MANAGEMN|SHAWN L CONLEY|SHAWN L CONLEY CHIEF FINANCIAL OFFICER|SHAWN L CONLEY CHIEF FINANCIAL OFFICER OF FOCUS|LORETTA STRUBBE|LORETTA STRUBBE CHIEF ADMINISTRATIVE OFFICER|LORETTA STRUBBE CHIEF FINANCIAL OFFICER OF FOCUS|TRINEESHA JOHNSON LICENSED NURSING FACILITY ADMINI|FOCUSED POST ACUTE CARE PARTNERS LLC",2
675398,FOCUSED CARE OF CENTER,TX,control,FOCUSED POST ACUTE CARE PARTNERS,FOCUSED POST ACUTE CARE PARTNERS LLC,same_snapshot_owner_fallback,FOCUSED POST ACUTE CARE PARTNERS LLC,Focused Post Acute Care Partners,operator_company,no,Focused Post Acute Care Partners official site,https://fpacp.com/focused-post-acute-care-partners-acquisitions-launch-unique-business-model-bringing-improved-long-term-care-to-outlying-secondary-and-tertiary-markets/,"Focused said it acquired operations of skilled nursing facilities in Texas, which supports an operator rather than REIT role.",medium,2025|2026,2016-12-20,CMS owner association date,2016-12-20,,,"FOCUSED POST ACUTE CARE PARTNERS MANAGEMENT, LLC|BONNIE J SANDERS LICENSED NURSING FACILITY ADMINI",True,same_owner_already_visible_pre_reit,FOCUSED POST ACUTE CARE PARTNERS LLC,FOCUSED POST ACUTE CARE PARTNERS LLC,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,2025,2026,2025,2026,2,2025-08-01,2026-03-02,CMS SNF_All_Owners association date,,,,,2025-07-01,"FOCUSED POST ACUTE CARE PARTNERS MANAGEMENT, LLC|MARK S MCKENZIE|MARK S MCKENZIE PRESIDENT|MARK S MCKENZIE PRINCIPAL OF CONTRACTED MANAGEM|MARK S MCKENZIE PRINCIPAL OF CONTRACTED MANAGEMN|BONNIE J SANDERS LICENSED NURSING FACILITY ADMINI|SHAWN L CONLEY|SHAWN L CONLEY CHIEF FINANCIAL OFFICER|SHAWN L CONLEY CHIEF FINANCIAL OFFICER OF FOCUS|LORETTA STRUBBE CHIEF OPERATING OFFICER|FOCUSED POST ACUTE CARE PARTNERS LLC",2
675927,FOCUSED CARE AT CRANE,TX,control,FOCUSED POST ACUTE CARE PARTNERS,FPACP CRANE LLC,same_snapshot_owner_fallback,FPACP CRANE LLC,Focused Post Acute Care Partners,operator_company,no,Focused Post Acute Care Partners official site,https://fpacp.com/focused-post-acute-care-partners-acquisitions-launch-unique-business-model-bringing-improved-long-term-care-to-outlying-secondary-and-tertiary-markets/,"Focused said it acquired operations of skilled nursing facilities in Texas, which supports an operator rather than REIT role.",medium,2025|2026,2017-11-01,CMS owner association date,2017-11-01,,,FOCUSED POST ACUTE CARE PARTNERS II LLC|MCCULLOCH COUNTY HOSPITAL DISTRICT,True,same_owner_already_visible_pre_reit,FPACP CRANE LLC,FPACP CRANE LLC,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,2025,2026,2025,2026,2,2025-11-06,2026-03-02,CMS SNF_All_Owners association date,,,,,2025-10-01,FPACP CRANE LLC|FOCUSED POST ACUTE CARE PARTNERS II LLC|MARK S MCKENZIE PRINCIPAL OF CONTRACTED MANAGEME|SHAWN L CONLEY PRINCIPAL OF CONTRACTED MANAGEME|MCCULLOCH COUNTY HOSPITAL DISTRICT|LORETTA STRUBBE PRINCIPAL OF CONTRACTED MANAGEME|TIMOTHY S JONES CEO,1
675910,FOCUSED CARE AT HOGAN PARK,TX,control,FOCUSED POST ACUTE CARE PARTNERS,FPACP HOGAN PARK LLC,same_snapshot_owner_fallback,FPACP HOGAN PARK LLC,Focused Post Acute Care Partners,operator_company,no,Focused Post Acute Care Partners official site,https://fpacp.com/focused-post-acute-care-partners-acquisitions-launch-unique-business-model-bringing-improved-long-term-care-to-outlying-secondary-and-tertiary-markets/,"Focused said it acquired operations of skilled nursing facilities in Texas, which supports an operator rather than REIT role.",medium,2025|2026,2017-11-01,CMS owner association date,2017-11-01,,,FOCUSED POST ACUTE CARE PARTNERS II LLC|MIDLAND COUNTY HOSPITAL DISTRICT,True,same_owner_already_visible_pre_reit,FPACP HOGAN PARK LLC,FPACP HOGAN PARK LLC,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,2025,2026,2025,2026,2,2025-10-01,2026-03-02,CMS SNF_All_Owners association date,,,,,2025-09-01,FPACP HOGAN PARK LLC|CARI CHAPLIN BOARD MEMBER|ANTONIO MIRAMONTES BOARD MEMBER|FOCUSED POST ACUTE CARE PARTNERS II LLC|MARK S MCKENZIE AUTHORIZED OFFICIAL|MARK S MCKENZIE MANAGER AND AUTHORIZED OFFICIAL|MARK S MCKENZIE CEO OF FOCUSED POST ACUTE PARTNE|DAVID GRIMES BOARD MEMBER|PAUL R MEYERS CEO AND AUTHORIZED OFFICIAL|SHAWN L CONLEY CFO OF CONTRACTED MANAGEMENT COM|DWAINE TOMLIN BOARD MEMBER|JEFFREY BEARD BOARD PRESIDENT|MIDLAND COUNTY HOSPITAL DISTRICT|LORETTA STRUBBE COO OF CONTRACTED MANAGEMENT COM|TRACIE GREENE BOARD MEMBER,1
165338,Northgate Care Center,IA,treated,LEGACY HEALTHCARE,GPN FAMILY TRUST U/A/D 04/28/08,named_reit_owner_row,GPN FAMILY TRUST U/A/D 04/28/08,GPN FAMILY TRUST U/A/D 04/28/08,private_trust_or_individual_vehicle,no,CMS owner entity name,,Owner entity is a private trust rather than a REIT.,low,2025|2026,2024-08-15,CMS CHOW event,2024-08-15,2024-08-15,ABCM CORPORATION,ABCM CORPORATION,False,chow_confirmed,GPN FAMILY TRUST U/A/D 04/28/08,GPN FAMILY TRUST U/A/D 04/28/08,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,2025,2026,2025,2026,2,2025-04-01,2026-03-02,CMS SNF_All_Owners association date,CHANGE OF OWNERSHIP,CMS SNF_CHOW seller record,2024-08-15,ABCM CORPORATION / NORTHGATE CARE CENTER,2025-02-28,RICHARD ALBERT ALLBEE CHAIRMAN & CEO|RICHARD ALBERT ALLBEE CEO|RICHARD ALBERT ALLBEE CHAIRMAN OF THE BOARD|TIMOTHY C. ROBERTS CHIEF FINANCIAL OFFICER|TIMOTHY C. ROBERTS|LOU ANN WIKAN ADMINISTRATOR|KATHY J MEYER-ALLBEE DIRECTOR|KATHY J MEYER-ALLBEE|TODD R ALLBEE DIRECTOR|TODD R ALLBEE|ALEXA L MAYNER CHIEF OPERATING OFFICER|ALEXA L MAYNER|ABCM CORPORATION,1
